Playtype,Team,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
Isolation,Detroit Pistons,46,269,5.5292901992798,255,97,221,0.94795501232147,5,24,43.891402714932,47.511312217195,10.780669144981,8.5501858736059,10.03717472119,1.4869888475836,45.353159851301
Isolation,Washington Wizards,48,401,7.6395502090454,379,140,331,0.94513702392578,7,22,42.296072507553,47.129909365559,12.219451371571,9.2269326683292,11.970074812968,3.9900249376559,42.643391521197
Isolation,Atlanta Hawks,47,248,4.8211498260498,209,75,186,0.8427420258522,26,3,40.322580645161,44.354838709677,13.709677419355,13.306451612903,12.096774193548,2.0161290322581,41.129032258065
Isolation,San Antonio Spurs,50,355,6.7696399688721,318,118,291,0.89577502012253,20,9,40.549828178694,44.501718213058,12.112676056338,8.7323943661972,11.267605633803,2.8169014084507,41.69014084507
Isolation,Milwaukee Bucks,46,446,9.1057596206665,384,141,367,0.86098700761795,23,6,38.41961852861,40.871934604905,12.780269058296,7.1748878923767,11.210762331839,2.2421524663677,41.479820627803
Isolation,Denver Nuggets,48,369,7.1789898872375,349,130,301,0.94579899311066,6,23,43.189368770764,47.840531561462,10.840108401084,10.027100271003,10.29810298103,2.4390243902439,43.631436314363
Isolation,Dallas Mavericks,48,335,6.6441898345947,269,91,267,0.80298501253128,27,2,34.082397003745,38.76404494382,14.029850746269,8.6567164179104,11.641791044776,2.3880597014925,37.313432835821
Isolation,Sacramento Kings,48,325,6.4064698219299,274,100,264,0.84307700395584,25,4,37.878787878788,40.719696969697,12.615384615385,8.3076923076923,12.615384615385,2.1538461538462,40.923076923077
Isolation,Minnesota Timberwolves,51,357,6.5360698699951,324,125,288,0.90756297111511,13,16,43.402777777778,46.006944444444,10.924369747899,10.084033613445,10.364145658263,1.6806722689076,43.977591036415
Isolation,Orlando Magic,47,364,6.9678401947021,346,128,295,0.9505490064621,3,26,43.389830508475,46.779661016949,14.010989010989,7.6923076923077,13.186813186813,3.021978021978,46.153846153846
Isolation,Philadelphia 76ers,44,417,8.3583898544312,372,138,345,0.89208602905273,21,8,40.0,42.753623188406,11.990407673861,7.1942446043165,10.791366906475,1.9184652278177,42.685851318945
Isolation,Brooklyn Nets,48,264,4.9382700920105,239,95,220,0.90530300140381,15,14,43.181818181818,45.227272727273,12.121212121212,8.3333333333333,10.606060606061,3.7878787878788,43.560606060606
Isolation,Memphis Grizzlies,47,369,7.487820148468,317,105,283,0.85907900333405,24,5,37.102473498233,40.106007067138,17.344173441734,8.9430894308943,15.176151761518,2.9810298102981,41.734417344173
Isolation,Houston Rockets,46,531,10.664799690247,476,184,433,0.89642202854156,19,10,42.494226327945,46.997690531178,9.2278719397363,11.487758945386,8.4745762711864,2.4482109227872,41.242937853107
Isolation,Cleveland Cavaliers,46,395,7.8544402122498,421,163,339,1.065819978714,0,29,48.082595870206,53.097345132743,11.898734177215,5.3164556962025,10.126582278481,3.0379746835443,50.126582278481
Isolation,Boston Celtics,49,387,7.3490300178528,356,141,319,0.91989701986313,11,18,44.200626959248,46.865203761755,10.335917312661,9.8191214470284,9.8191214470284,2.5839793281654,43.669250645995
Isolation,Golden State Warriors,49,554,9.9318799972534,498,185,449,0.89891701936722,17,12,41.202672605791,44.766146993318,12.996389891697,7.942238267148,12.093862815884,1.985559566787,43.501805054152
PRBallHandler,Oklahoma City Thunder,48,647,12.64910030365,485,180,426,0.74961400032043,28,1,42.253521126761,46.948356807512,8.500772797527,26.584234930448,7.1097372488408,1.0819165378671,34.930448222566
