TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,W_ON,W_OFF,W_DIFF,L_ON,L_OFF,L_DIFF,W_PCT_ON,W_PCT_OFF,W_PCT_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,EFG_PCT_ON,EFG_PCT_OFF,EFG_PCT_DIFF,FTA_RATE_ON,FTA_RATE_OFF,FTA_RATE_DIFF,TM_TOV_PCT_ON,TM_TOV_PCT_OFF,TM_TOV_PCT_DIFF,OREB_PCT_ON,OREB_PCT_OFF,OREB_PCT_DIFF,OPP_EFG_PCT_ON,OPP_EFG_PCT_OFF,OPP_EFG_PCT_DIFF,OPP_FTA_RATE_ON,OPP_FTA_RATE_OFF,OPP_FTA_RATE_DIFF,OPP_TOV_PCT_ON,OPP_TOV_PCT_OFF,OPP_TOV_PCT_DIFF,OPP_OREB_PCT_ON,OPP_OREB_PCT_OFF,OPP_OREB_PCT_DIFF
Oklahoma City Thunder,"Patterson, Patrick",40.0,40,0.0,22.0,22,0.0,18.0,18,0.0,0.55,0.55,0.0,573.0,1367.0,-794.0,0.502,0.518,-0.016,0.248,0.256,-0.008,0.135,0.149,-0.014,0.191,0.304,-0.113,0.531,0.513,0.018,0.247,0.269,-0.022,0.164,0.168,-0.004,0.243,0.221,0.022
Oklahoma City Thunder,"Roberson, Andre",34.0,40,-6.0,19.0,22,-3.0,15.0,18,-3.0,0.559,0.55,0.009,916.0,1024.0,-108.0,0.497,0.529,-0.032,0.24,0.266,-0.026,0.15,0.141,0.009,0.309,0.236,0.073,0.506,0.528,-0.022,0.24,0.282,-0.042,0.189,0.148,0.041,0.203,0.249,-0.046
Oklahoma City Thunder,"Singler, Kyle",6.0,40,-34.0,3.0,22,-19.0,3.0,18,-15.0,0.5,0.55,-0.05,39.0,1901.0,-1862.0,0.521,0.514,0.007,0.257,0.254,0.003,0.131,0.145,-0.014,0.156,0.274,-0.118,0.492,0.518,-0.026,0.333,0.261,0.072,0.138,0.168,-0.03,0.2,0.228,-0.028
Oklahoma City Thunder,"Westbrook, Russell",40.0,40,0.0,22.0,22,0.0,18.0,18,0.0,0.55,0.55,0.0,1446.0,494.0,952.0,0.521,0.49,0.031,0.26,0.234,0.026,0.144,0.147,-0.003,0.294,0.204,0.09,0.517,0.519,-0.002,0.257,0.279,-0.022,0.168,0.166,0.002,0.216,0.261,-0.045
Toronto Raptors,"Anunoby, OG",38.0,38,0.0,28.0,28,0.0,10.0,10,0.0,0.737,0.737,0.0,810.0,1024.0,-214.0,0.559,0.522,0.037,0.283,0.254,0.029,0.137,0.136,0.001,0.238,0.219,0.019,0.503,0.51,-0.007,0.245,0.313,-0.068,0.157,0.156,0.001,0.224,0.231,-0.007
Toronto Raptors,"Brown, Lorenzo",8.0,38,-30.0,6.0,28,-22.0,2.0,10,-8.0,0.75,0.737,0.013,55.0,1779.0,-1724.0,0.531,0.538,-0.007,0.185,0.269,-0.084,0.193,0.135,0.058,0.108,0.23,-0.122,0.371,0.511,-0.14,0.301,0.282,0.019,0.168,0.156,0.012,0.296,0.225,0.071
Toronto Raptors,"Caboclo, Bruno",2.0,38,-36.0,2.0,28,-26.0,0.0,10,-10.0,1.0,0.737,0.263,7.0,1827.0,-1820.0,0.406,0.539,-0.133,0.188,0.267,-0.079,0.075,0.137,-0.062,0.625,0.225,0.4,0.208,0.508,-0.3,0.167,0.283,-0.116,0.144,0.157,-0.013,0.1,0.229,-0.129
Toronto Raptors,"DeRozan, DeMar",38.0,38,0.0,28.0,28,0.0,10.0,10,0.0,0.737,0.737,0.0,1316.0,518.0,798.0,0.546,0.517,0.029,0.284,0.222,0.062,0.13,0.153,-0.023,0.23,0.222,0.008,0.515,0.483,0.032,0.276,0.299,-0.023,0.147,0.18,-0.033,0.22,0.248,-0.028
Toronto Raptors,"Ibaka, Serge",34.0,38,-4.0,24.0,28,-4.0,10.0,10,0.0,0.706,0.737,-0.031,971.0,863.0,108.0,0.549,0.527,0.022,0.317,0.212,0.105,0.132,0.142,-0.01,0.22,0.235,-0.015,0.507,0.506,0.001,0.288,0.276,0.012,0.143,0.172,-0.029,0.214,0.244,-0.03
Toronto Raptors,"Lowry, Kyle",38.0,38,0.0,28.0,28,0.0,10.0,10,0.0,0.737,0.737,0.0,1248.0,586.0,662.0,0.545,0.524,0.021,0.284,0.23,0.054,0.135,0.139,-0.004,0.223,0.236,-0.013,0.511,0.497,0.014,0.278,0.291,-0.013,0.15,0.17,-0.02,0.228,0.227,0.001
