Playtype,Team,Player,P,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
Transition,Brooklyn Nets,"Isaiah, Whitehead",G,12,14,13.207500457764,11,4,11,0.78571397066116,32,334,36.363636363636,36.363636363636,14.285714285714,7.1428571428571,14.285714285714,0.0,42.857142857143
Transition,Charlotte Hornets,"Michael, Carter-Williams",G,37,20,9.2165899276733,14,4,12,0.69999998807907,17,348,33.333333333333,37.5,20.0,25.0,15.0,5.0,35.0
Transition,Philadelphia 76ers,"Jahil, Okafor",C,2,1,7.1428599357605,0,0,0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Transition,Phoenix Suns,"Jared, Dudley",F,25,14,16.091999053955,10,3,9,0.71428602933884,19,347,33.333333333333,38.888888888889,14.285714285714,28.571428571429,14.285714285714,7.1428571428571,28.571428571429
Transition,Golden State Warriors,"Kevon, Looney",F,40,14,11.666700363159,18,6,7,1.28570997715,310,54,85.714285714286,85.714285714286,50.0,14.285714285714,42.857142857143,14.285714285714,71.428571428571
Transition,San Antonio Spurs,"Bryn, Forbes",G,52,72,17.307699203491,78,28,65,1.0833300352097,192,174,43.076923076923,54.615384615385,5.5555555555556,6.9444444444444,5.5555555555556,2.7777777777778,41.666666666667
Transition,Boston Celtics,"Marcus, Morris",F,29,43,11.944399833679,42,13,33,0.97674399614334,107,259,39.393939393939,46.969696969697,16.279069767442,11.627906976744,16.279069767442,4.6511627906977,41.860465116279
Transition,Charlotte Hornets,"Cody, Zeller",C,19,11,7.9136700630188,15,5,6,1.3636399507523,334,31,83.333333333333,83.333333333333,36.363636363636,9.0909090909091,36.363636363636,0.0,81.818181818182
Transition,Dallas Mavericks,"Salah, Mejri",C,45,16,10.738300323486,18,8,10,1.125,214,152,80.0,80.0,12.5,31.25,6.25,6.25,56.25
Transition,Washington Wizards,"Markieff, Morris",F,42,38,8.2073402404785,47,16,29,1.2368400096893,277,88,55.172413793103,65.51724137931,15.789473684211,10.526315789474,15.789473684211,2.6315789473684,55.263157894737
Transition,Golden State Warriors,"Patrick, McCaw",G,44,32,16.243700027466,38,15,26,1.1875,251,114,57.692307692308,61.538461538462,15.625,12.5,12.5,9.375,53.125
Transition,Los Angeles Clippers,"Sindarius, Thornwell",G,48,49,27.683599472046,48,19,33,0.97959202528,108,258,57.575757575758,60.606060606061,22.448979591837,22.448979591837,20.408163265306,12.244897959184,48.979591836735
Transition,Miami Heat,"Hassan, Whiteside",C,32,18,4.0909099578857,18,7,13,1.0,115,229,53.846153846154,57.692307692308,11.111111111111,22.222222222222,11.111111111111,5.5555555555556,44.444444444444
Transition,Charlotte Hornets,"Mangok, Mathiang",F-C,10,1,5.2631602287292,2,1,1,2.0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Transition,Chicago Bulls,"Cristiano, Felicio",F-C,27,8,8.3333301544189,9,3,6,1.125,0,0,50.0,50.0,37.5,0.0,37.5,12.5,62.5
Transition,Washington Wizards,"Tomas, Satoransky",G,41,35,17.326700210571,39,15,25,1.1142899990082,209,157,60.0,66.0,25.714285714286,8.5714285714286,20.0,5.7142857142857,54.285714285714
Transition,Miami Heat,"Okaro, White",F,5,4,21.052600860596,3,1,4,0.75,0,0,25.0,37.5,0.0,0.0,0.0,0.0,25.0
Transition,Milwaukee Bucks,"Rashad, Vaughn",G,16,12,22.641500473022,14,5,12,1.1666699647903,231,123,41.666666666667,58.333333333333,0.0,0.0,0.0,0.0,41.666666666667
Transition,Milwaukee Bucks,"Matthew, Dellavedova",G,34,21,11.052599906921,27,9,14,1.28570997715,310,54,64.285714285714,89.285714285714,4.7619047619048,28.571428571429,4.7619047619048,0.0,47.619047619048
Transition,Orlando Magic,"Marreese, Speights",F-C,39,31,10.508500099182,33,11,27,1.0645200014114,178,188,40.740740740741,55.555555555556,6.4516129032258,6.4516129032258,6.4516129032258,0.0,41.935483870968
Transition,Boston Celtics,"Daniel, Theis",F-C,49,16,6.5843601226807,17,6,12,1.0625,170,192,50.0,50.0,25.0,12.5,25.0,12.5,50.0
Transition,Denver Nuggets,"Darrell, Arthur",F,1,1,33.333301544189,0,0,0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Transition,San Antonio Spurs,"Brandon, Paul",G,45,23,16.788299560547,33,14,20,1.4347800016403,347,18,70.0,77.5,13.04347826087,4.3478260869565,13.04347826087,4.3478260869565,65.217391304348
Transition,New York Knicks,"Enes, Kanter",C,48,40,6.6115698814392,55,24,33,1.375,336,30,72.727272727273,72.727272727273,10.0,10.0,10.0,2.5,67.5
