Playtype,Team,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
PRBallHandler,Portland Trail Blazers,48,1145,22.044700622559,1104,417,922,0.96419197320938,28,1,45.227765726681,50.867678958785,8.5589519650655,12.751091703057,6.9868995633188,1.8340611353712,42.96943231441
PRBallHandler,Sacramento Kings,48,837,16.434299468994,648,262,624,0.77419400215149,3,26,41.987179487179,45.352564102564,7.168458781362,19.832735961768,5.3763440860215,1.5531660692951,36.439665471924
PRBallHandler,Detroit Pistons,46,737,14.931099891663,631,261,601,0.85617399215698,22,7,43.42762063228,45.840266222962,7.055630936228,12.890094979647,6.9199457259159,1.4925373134328,40.841248303935
PRBallHandler,Utah Jazz,48,1045,20.67259979248,795,305,773,0.76076602935791,1,28,39.456662354463,43.143596377749,7.6555023923445,19.521531100478,5.7416267942584,1.1483253588517,35.502392344498
PRBallHandler,Milwaukee Bucks,46,752,15.656900405884,630,246,556,0.83776599168777,15,14,44.244604316547,46.58273381295,9.9734042553191,17.952127659574,8.6436170212766,1.8617021276596,40.558510638298
PRBallHandler,San Antonio Spurs,50,860,16.278600692749,698,287,650,0.81162798404694,10,19,44.153846153846,46.923076923077,6.3953488372093,19.186046511628,5.4651162790698,1.1627906976744,38.488372093023
PRBallHandler,Miami Heat,48,875,17.42679977417,735,302,663,0.83999997377396,18,11,45.550527903469,47.435897435897,9.1428571428571,17.142857142857,7.6571428571429,2.0571428571429,41.142857142857
PRBallHandler,Philadelphia 76ers,44,565,11.331700325012,457,193,434,0.80884999036789,7,22,44.470046082949,46.198156682028,8.141592920354,16.46017699115,6.9026548672566,1.4159292035398,39.646017699115
PRBallHandler,Dallas Mavericks,48,882,17.639999389648,734,273,677,0.83219999074936,13,16,40.324963072378,44.977843426883,9.4104308390023,15.646258503401,8.390022675737,1.8140589569161,38.43537414966
PRBallHandler,New Orleans Pelicans,47,576,11.13689994812,461,191,427,0.80034697055817,5,24,44.730679156909,48.360655737705,5.3819444444444,21.180555555556,3.9930555555556,0.69444444444444,37.673611111111
PRBallHandler,Cleveland Cavaliers,46,643,13.026700019836,539,201,463,0.8382580280304,17,12,43.41252699784,48.164146868251,10.886469673406,19.440124416796,9.4867807153966,2.3328149300156,39.50233281493
PRBallHandler,Houston Rockets,46,939,18.634599685669,834,278,675,0.88817900419235,24,5,41.185185185185,48.37037037037,11.395101171459,18.423855165069,9.4781682641108,1.7039403620873,39.084132055378
PRBallHandler,Boston Celtics,49,801,15.336000442505,731,283,631,0.91260898113251,26,3,44.849445324881,50.158478605388,7.8651685393258,14.606741573034,6.8664169787765,1.2484394506866,41.697877652934
PRBallHandler,Golden State Warriors,49,537,10.01309967041,527,190,424,0.98137801885605,29,0,44.811320754717,51.768867924528,9.683426443203,13.40782122905,8.1936685288641,2.048417132216,43.016759776536
PRRollman,Los Angeles Clippers,47,308,5.9459500312805,380,148,251,1.2337700128555,28,1,58.964143426295,64.541832669323,15.584415584416,6.4935064935065,14.61038961039,3.5714285714286,58.441558441558
PRRollman,Oklahoma City Thunder,48,386,7.2515501976013,420,164,307,1.0880800485611,18,11,53.420195439739,57.654723127036,13.989637305699,9.0673575129534,12.694300518135,2.5906735751295,52.849740932642
PRRollman,Chicago Bulls,48,449,8.5426197052002,473,193,392,1.0534499883652,12,17,49.234693877551,52.678571428571,9.3541202672606,4.8997772828508,9.1314031180401,1.7817371937639,50.556792873051
PRRollman,Toronto Raptors,46,395,7.8217802047729,438,179,336,1.1088600158691,20,9,53.27380952381,56.845238095238,11.645569620253,7.3417721518987,11.139240506329,4.3037974683544,52.658227848101
