TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,W_ON,W_OFF,W_DIFF,L_ON,L_OFF,L_DIFF,W_PCT_ON,W_PCT_OFF,W_PCT_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,PCT_FGA_2PT_ON,PCT_FGA_2PT_OFF,PCT_FGA_2PT_DIFF,PCT_FGA_3PT_ON,PCT_FGA_3PT_OFF,PCT_FGA_3PT_DIFF,PCT_PTS_2PT_ON,PCT_PTS_2PT_OFF,PCT_PTS_2PT_DIFF,PCT_PTS_2PT_MR_ON,PCT_PTS_2PT_MR_OFF,PCT_PTS_2PT_MR_DIFF,PCT_PTS_3PT_ON,PCT_PTS_3PT_OFF,PCT_PTS_3PT_DIFF,PCT_PTS_FB_ON,PCT_PTS_FB_OFF,PCT_PTS_FB_DIFF,PCT_PTS_FT_ON,PCT_PTS_FT_OFF,PCT_PTS_FT_DIFF,PCT_PTS_OFF_TOV_ON,PCT_PTS_OFF_TOV_OFF,PCT_PTS_OFF_TOV_DIFF,PCT_PTS_PAINT_ON,PCT_PTS_PAINT_OFF,PCT_PTS_PAINT_DIFF,PCT_AST_2PM_ON,PCT_AST_2PM_OFF,PCT_AST_2PM_DIFF,PCT_UAST_2PM_ON,PCT_UAST_2PM_OFF,PCT_UAST_2PM_DIFF,PCT_AST_3PM_ON,PCT_AST_3PM_OFF,PCT_AST_3PM_DIFF,PCT_UAST_3PM_ON,PCT_UAST_3PM_OFF,PCT_UAST_3PM_DIFF,PCT_AST_FGM_ON,PCT_AST_FGM_OFF,PCT_AST_FGM_DIFF,PCT_UAST_FGM_ON,PCT_UAST_FGM_OFF,PCT_UAST_FGM_DIFF
Boston Celtics,"Brown, Jaylen",38.0,43,-5.0,29.0,33,-4.0,9.0,10,-1.0,0.763,0.767,-0.004,31.3,20.4,10.9,0.648,0.605,0.043,0.352,0.395,-0.043,0.527,0.491,0.036,0.126,0.128,-0.002,0.324,0.347,-0.023,0.1,0.092,0.008,0.149,0.162,-0.013,0.143,0.141,0.002,0.401,0.363,0.038,0.493,0.465,0.028,0.507,0.535,-0.028,0.806,0.832,-0.026,0.194,0.168,0.026,0.584,0.582,0.002,0.416,0.418,-0.002
Boston Celtics,"Hayward, Gordon",1.0,43,-42.0,0.0,33,-33.0,1.0,10,-9.0,0.0,0.767,-0.767,5.3,48.0,-42.7,0.75,0.63,0.12,0.25,0.37,-0.12,1.0,0.511,0.489,0.333,0.126,0.207,0.0,0.334,-0.334,0.167,0.096,0.071,0.0,0.155,-0.155,0.333,0.141,0.192,0.667,0.384,0.283,0.667,0.481,0.186,0.333,0.519,-0.186,0.0,0.817,-0.817,0.0,0.183,-0.183,0.667,0.583,0.084,0.333,0.417,-0.084
Boston Celtics,"Horford, Al",39.0,43,-4.0,29.0,33,-4.0,10.0,10,0.0,0.744,0.767,-0.023,32.4,18.7,13.7,0.633,0.626,0.007,0.367,0.374,-0.007,0.52,0.499,0.021,0.118,0.141,-0.023,0.339,0.324,0.015,0.106,0.08,0.026,0.141,0.177,-0.036,0.128,0.167,-0.039,0.401,0.357,0.044,0.505,0.44,0.065,0.495,0.56,-0.065,0.82,0.81,0.01,0.18,0.19,-0.01,0.6,0.552,0.048,0.4,0.448,-0.048
Boston Celtics,"Irving, Kyrie",41.0,43,-2.0,32.0,33,-1.0,9.0,10,-1.0,0.78,0.767,0.013,32.5,17.1,15.4,0.645,0.603,0.042,0.355,0.397,-0.042,0.521,0.493,0.028,0.125,0.131,-0.006,0.325,0.351,-0.026,0.1,0.089,0.011,0.154,0.155,-0.001,0.143,0.139,0.004,0.396,0.362,0.034,0.486,0.472,0.014,0.514,0.528,-0.014,0.789,0.869,-0.08,0.211,0.131,0.08,0.575,0.6,-0.025,0.425,0.4,0.025
Boston Celtics,"Larkin, Shane",31.0,43,-12.0,25.0,33,-8.0,6.0,10,-4.0,0.806,0.767,0.039,11.1,40.1,-29.0,0.617,0.633,-0.016,0.383,0.367,0.016,0.463,0.521,-0.058,0.153,0.122,0.031,0.338,0.333,0.005,0.086,0.098,-0.012,0.198,0.147,0.051,0.162,0.138,0.024,0.31,0.399,-0.089,0.416,0.492,-0.076,0.584,0.508,0.076,0.907,0.8,0.107,0.093,0.2,-0.107,0.576,0.584,-0.008,0.424,0.416,0.008
Boston Celtics,"Morris, Marcus",21.0,43,-22.0,17.0,33,-16.0,4.0,10,-6.0,0.81,0.767,0.043,23.3,36.7,-13.4,0.634,0.629,0.005,0.366,0.371,-0.005,0.506,0.514,-0.008,0.145,0.121,0.024,0.331,0.334,-0.003,0.092,0.098,-0.006,0.162,0.152,0.01,0.112,0.151,-0.039,0.361,0.393,-0.032,0.485,0.481,0.004,0.515,0.519,-0.004,0.838,0.81,0.028,0.162,0.19,-0.028,0.592,0.58,0.012,0.408,0.42,-0.012
Boston Celtics,"Nader, Abdel",19.0,43,-24.0,15.0,33,-18.0,4.0,10,-6.0,0.789,0.767,0.022,8.0,44.6,-36.6,0.57,0.635,-0.065,0.43,0.365,0.065,0.528,0.511,0.017,0.139,0.126,0.013,0.313,0.335,-0.022,0.049,0.1,-0.051,0.16,0.154,0.006,0.16,0.141,0.019,0.389,0.385,0.004,0.461,0.483,-0.022,0.539,0.517,0.022,1.0,0.805,0.195,0.0,0.195,-0.195,0.613,0.581,0.032,0.387,0.419,-0.032
Boston Celtics,"Ojeleye, Semi",38.0,43,-5.0,29.0,33,-4.0,9.0,10,-1.0,0.763,0.767,-0.004,13.9,35.8,-21.9,0.602,0.64,-0.038,0.398,0.36,0.038,0.513,0.512,0.001,0.137,0.124,0.013,0.337,0.332,0.005,0.073,0.103,-0.03,0.15,0.156,-0.006,0.152,0.139,0.013,0.377,0.388,-0.011,0.452,0.491,-0.039,0.548,0.509,0.039,0.8,0.822,-0.022,0.2,0.178,0.022,0.558,0.591,-0.033,0.442,0.409,0.033
Boston Celtics,"Rozier, Terry",43.0,43,0.0,33.0,33,0.0,10.0,10,0.0,0.767,0.767,0.0,23.1,25.1,-2.0,0.602,0.656,-0.054,0.398,0.344,0.054,0.483,0.537,-0.054,0.112,0.139,-0.027,0.355,0.315,0.04,0.09,0.102,-0.012,0.162,0.148,0.014,0.135,0.148,-0.013,0.371,0.398,-0.027,0.443,0.512,-0.069,0.557,0.488,0.069,0.829,0.805,0.024,0.171,0.195,-0.024,0.57,0.594,-0.024,0.43,0.406,0.024
Boston Celtics,"Smart, Marcus",41.0,43,-2.0,31.0,33,-2.0,10.0,10,0.0,0.756,0.767,-0.011,30.5,19.0,11.5,0.608,0.665,-0.057,0.392,0.335,0.057,0.503,0.527,-0.024,0.114,0.148,-0.034,0.343,0.319,0.024,0.094,0.101,-0.007,0.155,0.155,0.0,0.145,0.137,0.008,0.389,0.379,0.01,0.508,0.442,0.066,0.492,0.558,-0.066,0.817,0.817,0.0,0.183,0.183,0.0,0.604,0.55,0.054,0.396,0.45,-0.054
Boston Celtics,"Tatum, Jayson",43.0,43,0.0,33.0,33,0.0,10.0,10,0.0,0.767,0.767,0.0,31.1,17.0,14.1,0.657,0.582,0.075,0.343,0.418,-0.075,0.525,0.487,0.038,0.129,0.122,0.007,0.316,0.366,-0.05,0.103,0.084,0.019,0.159,0.146,0.013,0.145,0.135,0.01,0.396,0.365,0.031,0.487,0.472,0.015,0.513,0.528,-0.015,0.807,0.833,-0.026,0.193,0.167,0.026,0.578,0.592,-0.014,0.422,0.408,0.014
