球员,球队,对阵,时间,状态,首发,出场时间,三分球命中,三分球出手,两分球命中,两分球出手,罚球命中,罚球出手,进攻,篮板,助攻,抢断,盖帽,失误,犯规,得分,编号
许钟豪,八一,山东,2016-10-30,102:82(已结束),0,26.3,0,1,2,7,1,2,2,7,0,1,1,1,4,5,500535
雷蒙,八一,山东,2016-10-30,102:82(已结束),0,22.6,0,3,1,3,6,7,1,3,1,1,0,2,2,8,501772
李天戈,八一,山东,2016-10-30,102:82(已结束),0,14.3,0,0,2,5,0,0,0,1,2,0,0,0,2,4,501774
宁鸿宇,八一,山东,2016-10-30,102:82(已结束),0,12.0,0,0,3,5,3,3,1,3,0,1,0,1,0,9,501779
张祖铭,八一,山东,2016-10-30,102:82(已结束),0,6.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,501782
队伍,八一,山东,2016-10-30,102:82(已结束),0,-,0,0,0,0,0,0,3,6,0,0,0,2,0,0,Te001
张凯,深圳,广州,2016-10-30,110:106(已结束),1,12.2,0,0,2,3,0,0,1,4,0,1,0,0,1,4,100107
孟铎,深圳,广州,2016-10-30,110:106(已结束),1,26.1,0,1,2,5,3,4,0,2,1,4,0,0,2,7,100111
顾全,深圳,广州,2016-10-30,110:106(已结束),1,32.8,2,5,4,10,6,6,2,4,1,0,1,1,2,20,501176
李慕豪,深圳,广州,2016-10-30,110:106(已结束),1,30.1,0,0,7,10,4,8,2,6,3,0,0,0,3,18,501178
杰里米·帕戈,深圳,广州,2016-10-30,110:106(已结束),1,40.4,2,7,7,12,5,10,2,9,9,3,0,1,3,25,503173
于德豪,深圳,广州,2016-10-30,110:106(已结束),0,7.5,0,0,0,0,1,2,0,0,1,0,0,0,3,1,501678
代怀博,深圳,广州,2016-10-30,110:106(已结束),0,14.9,0,1,1,2,0,0,0,2,0,0,0,0,2,2,501413
何忠勉,深圳,广州,2016-10-30,110:106(已结束),0,11.8,0,1,1,1,0,0,0,1,0,0,1,0,2,2,500665
赵捷,深圳,广州,2016-10-30,110:106(已结束),0,21.8,3,5,1,2,0,0,0,1,0,0,0,3,2,11,500666
邱彪,深圳,广州,2016-10-30,110:106(已结束),0,10.3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,100108
马齐·兰佩,深圳,广州,2016-10-30,110:106(已结束),0,31.5,1,5,7,12,3,6,4,16,1,2,0,3,0,20,503546
队伍,深圳,广州,2016-10-30,110:106(已结束),0,-,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Te025
郑准,广州,深圳,2016-10-30,110:106(已结束),1,25.1,1,1,3,5,4,4,3,6,0,0,1,0,4,13,500509
鞠明欣,广州,深圳,2016-10-30,110:106(已结束),1,40.2,1,3,4,9,4,4,1,7,2,1,0,3,5,15,501398
范子铭,广州,深圳,2016-10-30,110:106(已结束),1,8.8,0,0,0,2,2,2,0,1,0,0,0,0,0,2,501725
巴赫拉米,广州,深圳,2016-10-30,110:106(已结束),1,44.9,0,3,9,15,3,4,1,6,2,1,0,3,5,21,501903
莱恩,广州,深圳,2016-10-30,110:106(已结束),1,42.0,9,17,5,9,2,4,0,5,3,1,0,4,4,39,503563
刘子豪,广州,深圳,2016-10-30,110:106(已结束),0,5.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,501885
朱旭航,广州,深圳,2016-10-30,110:106(已结束),0,34.5,0,2,2,5,2,2,3,10,0,1,2,3,5,6,501546
A.R.库克,广州,深圳,2016-10-30,110:106(已结束),0,27.5,0,2,4,12,2,2,3,9,0,0,0,1,4,10,503564
李学林,广州,深圳,2016-10-30,110:106(已结束),0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,501212
史鸿飞,广州,深圳,2016-10-30,110:106(已结束),0,9.2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,501345
队伍,广州,深圳,2016-10-30,110:106(已结束),0,-,0,0,0,0,0,0,0,2,0,0,0,1,0,0,Te010
苏伟,青岛,天津,2016-10-30,111:97(已结束),1,0.0,0,0,3,6,2,2,1,6,1,2,0,0,2,8,101763
张骋宇,青岛,天津,2016-10-30,111:97(已结束),1,0.0,2,8,10,11,4,4,1,2,0,3,0,1,3,30,500660
田嘉夫,青岛,天津,2016-10-30,111:97(已结束),1,0.0,2,4,0,1,2,2,0,3,0,1,0,1,4,8,501382
多米尼克·琼斯,青岛,天津,2016-10-30,111:97(已结束),1,0.0,4,13,4,12,6,8,3,12,5,4,2,3,3,26,501896
孙鐿滔,青岛,天津,2016-10-30,111:97(已结束),1,0.0,2,5,0,2,2,2,1,2,0,1,0,1,5,8,501936
贝尼蒙,青岛,天津,2016-10-30,111:97(已结束),0,0.0,0,1,7,12,2,4,1,6,4,1,1,4,4,16,503178
张涵钧,青岛,天津,2016-10-30,111:97(已结束),0,0.0,0,0,1,2,0,0,1,1,1,0,0,1,2,2,501472
孙杰,青岛,天津,2016-10-30,111:97(已结束),0,0.0,2,4,0,0,2,2,0,1,1,0,0,1,2,8,100213
宗赞,青岛,天津,2016-10-30,111:97(已结束),0,0.0,0,0,1,3,3,3,2,2,0,0,0,1,1,5,501585
刘书楠,青岛,天津,2016-10-30,111:97(已结束),0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,500531
队伍,青岛,天津,2016-10-30,111:97(已结束),0,-,0,0,0,0,0,0,2,4,0,0,0,0,0,0,Te030
张楠,天津,青岛,2016-10-30,111:97(已结束),1,0.0,0,0,4,7,1,2,2,4,1,1,0,4,2,9,100244
孟祥龙,天津,青岛,2016-10-30,111:97(已结束),1,0.0,0,4,4,6,1,2,1,2,1,0,0,2,4,9,500697
桑尼,天津,青岛,2016-10-30,111:97(已结束),1,0.0,0,1,8,12,8,10,3,12,2,0,0,7,5,24,501255
普·杰特,天津,青岛,2016-10-30,111:97(已结束),1,0.0,1,7,4,11,13,14,2,8,5,3,0,4,3,24,501544
田垒,天津,青岛,2016-10-30,111:97(已结束),1,0.0,0,2,0,1,0,0,0,3,0,0,0,0,1,0,501945
徐磊,天津,青岛,2016-10-30,111:97(已结束),0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,400017
李荣培,天津,青岛,2016-10-30,111:97(已结束),0,0.0,0,2,0,2,0,0,1,3,0,1,0,0,3,0,501761
时德帅,天津,青岛,2016-10-30,111:97(已结束),0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,501763
张智涵,天津,青岛,2016-10-30,111:97(已结束),0,0.0,0,2,0,0,0,0,1,2,1,0,0,0,2,0,500696
田野.,天津,青岛,2016-10-30,111:97(已结束),0,0.0,1,1,1,1,0,0,1,1,0,0,0,2,1,5,501307
杰里米-泰勒,天津,青岛,2016-10-30,111:97(已结束),0,0.0,0,0,12,17,2,3,4,10,0,0,2,4,4,26,502331
队伍,天津,青岛,2016-10-30,111:97(已结束),0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Te029
张彪,吉林,江苏,2016-10-30,101:83(已结束),1,0.0,0,0,6,9,2,2,1,2,2,0,0,2,3,14,500526
崔晋铭,吉林,江苏,2016-10-30,101:83(已结束),1,0.0,1,4,5,11,0,0,2,6,4,1,0,2,0,13,501506
M·卡姆拉尼,吉林,江苏,2016-10-30,101:83(已结束),1,0.0,5,7,7,9,1,2,0,4,7,6,0,0,4,30,502305
柴长易,吉林,江苏,2016-10-30,101:83(已结束),1,0.0,2,6,1,2,2,2,1,3,1,0,0,1,2,10,501338
姚天一,吉林,江苏,2016-10-30,101:83(已结束),1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,501979
耿铭旸,吉林,江苏,2016-10-30,101:83(已结束),1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503172
M.I.托马斯,吉林,江苏,2016-10-30,101:83(已结束),1,0.0,1,3,9,12,5,6,6,16,1,2,1,3,2,26,503554
钟诚,吉林,江苏,2016-10-30,101:83(已结束),0,0.0,2,6,0,1,0,0,1,4,3,1,0,2,2,6,500523
李安,吉林,江苏,2016-10-30,101:83(已结束),0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,500662
金明,吉林,江苏,2016-10-30,101:83(已结束),0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,501227
郭金林,吉林,江苏,2016-10-30,101:83(已结束),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501386
刘天意,吉林,江苏,2016-10-30,101:83(已结束),0,0.0,0,0,1,3,0,0,0,1,0,1,0,2,1,2,501540
肖剑,吉林,江苏,2016-10-30,101:83(已结束),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502308
蔡李龙,吉林,江苏,2016-10-30,101:83(已结束),0,0.0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,500675
队伍,吉林,江苏,2016-10-30,101:83(已结束),0,-,0,0,0,0,0,0,1,4,0,0,0,1,0,0,Te002
柳伟,江苏,吉林,2016-10-30,101:83(已结束),1,0.0,0,0,5,8,0,0,3,7,0,0,0,1,2,10,100164
马尚·布鲁克斯,江苏,吉林,2016-10-30,101:83(已结束),1,0.0,5,10,7,17,3,3,1,7,5,5,1,7,3,32,503170
李原宇,江苏,吉林,2016-10-30,101:83(已结束),1,0.0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,501166
易立,江苏,吉林,2016-10-30,101:83(已结束),1,0.0,1,5,5,9,3,3,0,2,4,2,0,2,1,16,100019
曹飞,江苏,吉林,2016-10-30,101:83(已结束),1,0.0,0,2,4,6,0,0,1,3,1,1,0,0,2,8,500545
候逸凡,江苏,吉林,2016-10-30,101:83(已结束),0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,501160
胡雪峰,江苏,吉林,2016-10-30,101:83(已结束),0,0.0,0,1,1,1,3,4,2,3,4,1,0,2,0,5,100018
陈磊,江苏,吉林,2016-10-30,101:83(已结束),0,0.0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,100139
常林,江苏,吉林,2016-10-30,101:83(已结束),0,0.0,2,4,0,1,0,0,3,5,0,0,0,3,3,6,400102
刘亚晖,江苏,吉林,2016-10-30,101:83(已结束),0,0.0,0,0,1,3,0,0,1,2,0,0,0,0,1,2,500341
S·萨缪尔斯,江苏,吉林,2016-10-30,101:83(已结束),0,0.0,0,0,1,4,0,2,1,3,0,0,0,2,0,2,503549
常亚松,江苏,吉林,2016-10-30,101:83(已结束),0,0.0,0,3,1,1,0,0,0,0,1,1,0,1,0,2,500667
队伍,江苏,吉林,2016-10-30,101:83(已结束),0,-,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Te005
可兰白克-马坎,新疆,北京,2016-10-30,110:92(已结束),1,0.0,1,2,1,2,0,0,0,1,0,2,0,1,4,5,501464
达柳斯·亚当斯,新疆,北京,2016-10-30,110:92(已结束),1,0.0,4,9,4,9,4,4,1,2,7,1,0,1,0,24,503547
孙桐林,新疆,北京,2016-10-30,110:92(已结束),1,0.0,0,0,6,7,1,2,3,7,0,3,0,2,3,13,501177
俞长栋,新疆,北京,2016-10-30,110:92(已结束),1,0.0,0,0,3,7,1,1,1,2,2,0,0,4,4,7,501179
西热力江,新疆,北京,2016-10-30,110:92(已结束),1,0.0,1,5,1,4,0,0,3,4,1,1,0,1,2,5,500555
李秋平,新疆,北京,2016-10-30,110:92(已结束),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Ca012
孙鸣阳,新疆,北京,2016-10-30,110:92(已结束),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,501403
周琦,新疆,北京,2016-10-30,110:92(已结束),0,0.0,2,2,1,4,4,5,2,4,0,1,2,2,5,12,501738
阿不都沙拉木,新疆,北京,2016-10-30,110:92(已结束),0,0.0,0,0,1,1,0,0,0,2,0,0,0,1,0,2,501983
安德雷.布拉切,新疆,北京,2016-10-30,110:92(已结束),0,0.0,0,1,11,14,9,14,3,14,6,1,0,4,4,31,502328
李根,新疆,北京,2016-10-30,110:92(已结束),0,0.0,1,3,4,7,0,1,0,5,0,0,0,4,4,11,500536
王子瑞,新疆,北京,2016-10-30,110:92(已结束),0,0.0,0,0,0,2,0,0,0,2,2,1,0,0,0,0,501301
队伍,新疆,北京,2016-10-30,110:92(已结束),0,-,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Te008
翟晓川,北京,新疆,2016-10-30,110:92(已结束),1,0.0,1,4,3,3,5,6,3,7,4,0,1,2,5,14,501346
斯蒂芬·马布里,北京,新疆,2016-10-30,110:92(已结束),1,0.0,2,4,9,13,3,5,1,6,4,1,0,5,5,27,500733
张松涛,北京,新疆,2016-10-30,110:92(已结束),1,0.0,0,0,2,5,0,0,2,3,0,0,0,4,5,4,101677
吉喆,北京,新疆,2016-10-30,110:92(已结束),1,0.0,1,2,2,2,1,2,0,1,1,0,2,1,3,8,500356
段江鹏,北京,新疆,2016-10-30,110:92(已结束),1,0.0,0,3,1,1,0,0,0,0,1,1,0,1,0,2,500389
兰多夫·莫里斯,北京,新疆,2016-10-30,110:92(已结束),0,0.0,0,0,7,22,5,10,0,11,0,2,0,6,3,19,501195
王鑫磊,北京,新疆,2016-10-30,110:92(已结束),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501233
张庆鹏,北京,新疆,2016-10-30,110:92(已结束),0,0.0,1,2,0,1,1,2,0,1,0,1,0,0,0,4,100126
王骁辉,北京,新疆,2016-10-30,110:92(已结束),0,0.0,1,3,0,0,1,2,3,6,0,1,0,0,2,4,500517
方硕,北京,新疆,2016-10-30,110:92(已结束),0,0.0,1,4,2,6,3,4,1,3,4,3,0,0,0,10,500519
张玉.,北京,新疆,2016-10-30,110:92(已结束),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501972
张才仁,北京,新疆,2016-10-30,110:92(已结束),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501976
队伍,北京,新疆,2016-10-30,110:92(已结束),0,-,0,0,0,0,0,0,1,2,0,0,0,0,0,0,Te012
周启新,福建,广厦,2016-10-30,88:102(已结束),1,0.0,1,2,0,2,0,0,2,4,2,4,0,2,3,3,100101
郭磊,福建,广厦,2016-10-30,88:102(已结束),1,0.0,0,1,1,2,0,0,1,5,0,0,0,1,0,2,100219
赵泰隆,福建,广厦,2016-10-30,88:102(已结束),1,0.0,1,4,2,2,0,0,0,0,2,2,0,1,2,7,500382
王哲林,福建,广厦,2016-10-30,88:102(已结束),1,0.0,1,2,7,20,1,3,2,9,0,0,0,1,2,18,501537
德怀特·拜克斯,福建,广厦,2016-10-30,88:102(已结束),1,0.0,3,10,8,12,0,2,1,3,6,2,0,2,1,25,502346
孙喆,福建,广厦,2016-10-30,88:102(已结束),0,0.0,0,0,1,1,0,0,2,4,0,0,0,1,4,2,500441
陈林坚,福建,广厦,2016-10-30,88:102(已结束),0,0.0,1,3,0,0,0,0,0,1,1,1,1,0,0,3,501476
李江淮,福建,广厦,2016-10-30,88:102(已结束),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503541
陈世杰,福建,广厦,2016-10-30,88:102(已结束),0,0.0,0,1,0,2,0,0,1,1,0,0,0,1,2,0,503542
黄毅超,福建,广厦,2016-10-30,88:102(已结束),0,0.0,1,4,1,2,0,0,2,3,0,0,0,0,0,5,502311
J·J·希克森,福建,广厦,2016-10-30,88:102(已结束),0,0.0,0,0,9,14,5,8,2,5,1,0,1,4,4,23,503569
胡金秋,广厦,福建,2016-10-30,88:102(已结束),1,0.0,0,0,3,8,0,0,4,8,0,1,2,0,2,6,502672
赵岩昊,广厦,福建,2016-10-30,88:102(已结束),1,0.0,1,4,3,4,0,0,0,4,1,1,0,2,0,9,501752
王征,广厦,福建,2016-10-30,88:102(已结束),1,0.0,0,0,6,6,3,3,2,6,0,0,1,1,2,15,500347
考特尼·福特森,广厦,福建,2016-10-30,88:102(已结束),1,0.0,1,7,7,14,9,10,2,5,7,2,0,2,1,26,503548
李京龙,广厦,福建,2016-10-30,88:102(已结束),1,0.0,4,7,2,2,0,0,0,1,0,2,0,3,2,16,501406
刘铮,广厦,福建,2016-10-30,88:102(已结束),0,0.0,1,2,2,3,0,0,0,5,6,2,0,1,1,7,503536
孙铭徽,广厦,福建,2016-10-30,88:102(已结束),0,0.0,0,0,1,1,0,0,1,1,1,3,0,3,2,2,501747
伊莱·霍尔曼,广厦,福建,2016-10-30,88:102(已结束),0,0.0,0,0,9,12,3,4,2,12,0,1,1,3,4,21,502309
苏若禹,广厦,福建,2016-10-30,88:102(已结束),0,0.0,0,0,0,2,0,0,0,2,0,0,0,1,3,0,501181
唐正东,同曦,辽宁,2016-10-30,100:115(已结束),1,0.0,0,0,3,9,0,0,2,4,2,0,1,1,4,6,100017
康宁汉姆,同曦,辽宁,2016-10-30,100:115(已结束),1,0.0,1,4,6,14,16,24,2,4,3,3,0,2,4,31,503566
于长春,同曦,辽宁,2016-10-30,100:115(已结束),1,0.0,0,0,0,3,0,0,1,1,0,0,0,0,1,0,500701
赛义德·阿巴斯,同曦,辽宁,2016-10-30,100:115(已结束),1,0.0,1,3,4,6,4,6,4,9,1,1,2,1,5,15,500715
冯欣,同曦,辽宁,2016-10-30,100:115(已结束),1,0.0,1,4,0,2,0,0,0,1,3,0,0,2,0,3,501031
马壮,同曦,辽宁,2016-10-30,100:115(已结束),0,0.0,2,6,0,5,0,0,1,3,2,1,0,2,5,6,500612
宋建骅,同曦,辽宁,2016-10-30,100:115(已结束),0,0.0,2,3,1,1,0,0,0,3,1,3,1,1,4,8,501380
德胡安-布莱尔,同曦,辽宁,2016-10-30,100:115(已结束),0,0.0,0,2,15,22,1,2,3,10,0,3,1,4,2,31,503565
廉明,辽宁,同曦,2016-10-30,100:115(已结束),1,0.0,0,2,3,3,2,2,2,4,0,1,0,1,6,8,501171
莱斯特·哈德森,辽宁,同曦,2016-10-30,100:115(已结束),1,0.0,4,12,7,12,7,8,0,4,3,1,0,7,6,33,501217
赵继伟,辽宁,同曦,2016-10-30,100:115(已结束),1,0.0,2,4,4,8,5,6,0,1,7,1,0,1,4,19,501736
丛明晨,辽宁,同曦,2016-10-30,100:115(已结束),1,0.0,5,7,0,3,1,2,1,3,1,2,0,0,4,16,501739
韩德君,辽宁,同曦,2016-10-30,100:115(已结束),1,0.0,0,1,4,7,9,10,3,17,3,1,2,4,4,17,500345
兰多夫,辽宁,同曦,2016-10-30,100:115(已结束),0,0.0,0,3,7,7,2,4,2,11,1,2,2,5,3,16,501557
高诗岩,辽宁,同曦,2016-10-30,100:115(已结束),0,0.0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,501726
郭旭,辽宁,同曦,2016-10-30,100:115(已结束),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501727
卫猛,辽宁,同曦,2016-10-30,100:115(已结束),0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,501895
孙锴祺,辽宁,同曦,2016-10-30,100:115(已结束),0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,503558
杨鸣,辽宁,同曦,2016-10-30,100:115(已结束),0,0.0,0,0,1,1,2,2,0,3,1,0,0,0,1,4,100129
