PLAYER_ID,NAME,TEAM,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
1626147,"Anderson, Justin",PHI,Month,January,10,5,5,0.5,163.631666667,25,56,0.446,6,24,0.25,10,11,0.909,7,19,26,9,3,6,3,5,14,7,66,14,0,0,1,2,5,4,1,1,1,2,2,1,5,1,1,3,1,1,1,1,2,1,1,5,5,1,1,1,1,1,1
1626147,"Anderson, Justin",PHI,Month,February,6,5,1,0.833,75.3983333333,16,29,0.552,7,13,0.538,2,7,0.286,0,8,8,3,2,2,1,3,7,5,41,3,0,0,3,2,2,2,3,2,3,1,1,4,1,4,2,5,5,4,5,3,3,2,2,4,1,3,2,2,3,1,1
1626147,"Anderson, Justin",PHI,Month,March,7,7,0,1.0,98.9433333333,15,41,0.366,6,23,0.261,5,5,1.0,3,15,18,8,5,2,0,2,11,6,41,-59,0,0,2,1,1,1,2,3,2,4,2,2,4,2,3,1,3,2,2,2,1,2,4,2,4,2,2,5,2,1,1
1626147,"Anderson, Justin",PHI,Pre/Post All-Star,Pre All-Star,26,15,11,0.577,365.318333333,59,133,0.444,22,63,0.349,17,25,0.68,17,44,61,15,9,11,5,11,40,20,157,-35,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
1626147,"Anderson, Justin",PHI,Pre/Post All-Star,Post All-Star,7,7,0,1.0,98.9433333333,15,41,0.366,6,23,0.261,5,5,1.0,3,15,18,8,5,2,0,2,11,6,41,-59,0,0,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1
1626147,"Anderson, Justin",PHI,Starting Position,Bench,33,22,11,0.667,464.261666667,74,174,0.425,28,86,0.326,22,30,0.733,20,59,79,23,14,13,5,13,51,26,198,-94,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1626147,"Anderson, Justin",PHI,Days Rest,0 Days Rest,5,2,3,0.4,91.1333333333,16,34,0.471,5,14,0.357,4,6,0.667,4,8,12,4,3,1,3,3,10,5,41,-23,0,0,2,4,6,5,2,2,2,3,2,2,4,2,2,3,2,2,2,2,2,3,1,5,6,2,2,6,2,1,1
1626147,"Anderson, Justin",PHI,Days Rest,1 Days Rest,15,10,5,0.667,228.975,34,79,0.43,9,36,0.25,16,21,0.762,13,26,39,14,5,9,2,3,29,17,93,-23,0,0,1,1,7,4,1,1,1,4,1,1,6,1,1,2,1,1,1,1,1,1,2,5,7,1,1,6,1,1,1
1626147,"Anderson, Justin",PHI,Days Rest,2 Days Rest,4,4,0,1.0,59.3233333333,9,26,0.346,5,14,0.357,0,1,0.0,3,8,11,4,2,2,0,3,1,1,23,-22,0,0,4,2,1,1,3,3,3,7,2,2,4,4,4,4,3,2,3,2,3,2,3,5,2,4,3,5,3,1,1
1626147,"Anderson, Justin",PHI,Days Rest,3 Days Rest,1,0,1,0.0,18.6666666667,3,7,0.429,2,5,0.4,0,0,0.0,0,3,3,0,1,0,0,1,3,1,8,-13,0,0,6,6,3,6,6,6,6,5,5,6,3,4,5,4,4,6,6,5,5,5,3,1,3,4,6,3,6,1,1
1626147,"Anderson, Justin",PHI,Days Rest,4 Days Rest,2,2,0,1.0,19.5933333333,5,10,0.5,4,7,0.571,0,0,0.0,0,5,5,0,1,1,0,1,4,0,14,-19,0,0,5,4,1,1,5,4,5,1,4,4,2,4,5,4,4,5,5,5,5,3,3,1,4,6,4,4,5,1,1
1626147,"Anderson, Justin",PHI,Days Rest,5 Days Rest,1,0,1,0.0,3.83333333333,2,4,0.5,2,3,0.667,0,0,0.0,0,1,1,0,0,0,0,1,0,0,6,8,0,0,6,6,3,6,7,7,7,1,5,7,1,4,5,4,4,7,7,5,7,5,3,1,1,6,7,1,7,1,1
1626147,"Anderson, Justin",PHI,Days Rest,6+ Days Rest,5,4,1,0.8,42.7366666667,5,14,0.357,1,7,0.143,2,2,1.0,0,8,8,1,2,0,0,1,4,2,13,-2,0,0,2,2,3,3,4,4,4,6,7,4,7,3,3,1,4,2,4,4,3,5,3,1,4,3,5,2,4,1,1
203937,"Anderson, Kyle",SAS,Location,Home,32,24,8,0.75,861.92,109,191,0.571,9,25,0.36,43,56,0.768,36,146,182,104,39,53,27,13,44,46,270,156,4,0,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1
203937,"Anderson, Kyle",SAS,Location,Road,34,13,21,0.382,913.736666667,97,205,0.473,6,24,0.25,52,75,0.693,42,148,190,79,53,48,24,18,54,60,252,-29,2,0,1,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1
