Playtype,Team,Player,P,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
PRBallHandler,Charlotte Hornets,"Kemba, Walker",G,39,251,45.471000671387,223,92,202,0.8884459733963,108,194,45.544554455446,49.009900990099,5.5776892430279,13.94422310757,4.3824701195219,0.0,42.231075697211
PRBallHandler,Sacramento Kings,"Garrett, Temple",G,41,135,38.461498260498,137,50,101,1.0148099660873,32,270,49.50495049505,56.930693069307,11.111111111111,16.296296296296,8.8888888888889,2.2222222222222,45.925925925926
PRBallHandler,Indiana Pacers,"Cory, Joseph",G,43,169,40.430599212646,149,64,133,0.88165700435638,112,190,48.12030075188,51.503759398496,3.5502958579882,17.751479289941,2.9585798816568,0.0,41.420118343195
PRBallHandler,Indiana Pacers,"Darren, Collison",G,42,176,43.890300750732,130,53,131,0.7386360168457,232,70,40.458015267176,43.511450381679,6.25,21.022727272727,5.1136363636364,1.7045454545455,34.090909090909
PRBallHandler,New Orleans Pelicans,"Jrue, Holiday",G,42,258,38.450099945068,193,67,187,0.74806201457977,226,76,35.828877005348,39.839572192513,10.852713178295,18.217054263566,8.9147286821705,1.5503875968992,34.496124031008
PRBallHandler,Dallas Mavericks,"Yogi, Ferrell",G,44,196,44.243801116943,192,78,167,0.97959202528,58,244,46.706586826347,52.395209580838,6.6326530612245,9.6938775510204,6.1224489795918,1.530612244898,43.877551020408
PRBallHandler,Cleveland Cavaliers,"LeBron, James",F,42,75,18.472900390625,64,26,60,0.85333299636841,137,165,43.333333333333,50.833333333333,2.6666666666667,18.666666666667,2.6666666666667,1.3333333333333,36.0
PRBallHandler,Houston Rockets,"PJ, Tucker",F,41,63,16.578899383545,64,24,48,1.01586997509,31,271,50.0,61.458333333333,6.3492063492063,17.460317460317,6.3492063492063,0.0,42.857142857143
PRBallHandler,Houston Rockets,"Eric, Gordon",G,39,118,29.722900390625,94,34,87,0.79660999774933,191,111,39.080459770115,43.103448275862,11.016949152542,17.796610169492,8.4745762711864,2.5423728813559,36.440677966102
PRBallHandler,Houston Rockets,"Ryan, Anderson",F,40,24,6.0913701057434,20,8,22,0.83333301544189,163,135,36.363636363636,43.181818181818,4.1666666666667,8.3333333333333,4.1666666666667,4.1666666666667,33.333333333333
PRBallHandler,Houston Rockets,"Luc, Mbah a Moute",F,24,75,33.18579864502,61,25,54,0.81333297491074,178,124,46.296296296296,51.851851851852,4.0,22.666666666667,5.3333333333333,0.0,37.333333333333
PRBallHandler,Golden State Warriors,"Shaun, Livingston",G,37,61,28.909999847412,44,16,48,0.72131097316742,240,62,33.333333333333,38.541666666667,8.1967213114754,13.114754098361,6.5573770491803,0.0,34.426229508197
PRBallHandler,Golden State Warriors,"Draymond, Green",F,38,52,11.79139995575,43,14,39,0.82692301273346,169,133,35.897435897436,43.589743589744,19.230769230769,9.6153846153846,19.230769230769,3.8461538461538,38.461538461538
PRBallHandler,Golden State Warriors,"Zaza, Pachulia",C,35,4,1.4134299755096,0,0,2,0.0,0,0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
PRBallHandler,Cleveland Cavaliers,"Derrick, Rose",G,7,23,41.071399688721,12,5,15,0.52173900604248,289,13,33.333333333333,36.666666666667,4.3478260869565,30.434782608696,4.3478260869565,0.0,26.086956521739
PRBallHandler,Boston Celtics,"Jaylen, Brown",F,39,129,29.318199157715,89,33,103,0.6899219751358,253,49,32.038834951456,34.95145631068,9.3023255813953,13.178294573643,7.7519379844961,2.3255813953488,32.558139534884
PRBallHandler,Cleveland Cavaliers,"Dwyane, Wade",G,38,77,28.839000701904,60,24,61,0.7792209982872,201,101,39.344262295082,45.081967213115,6.4935064935065,18.181818181818,6.4935064935065,3.8961038961039,33.766233766234
PRBallHandler,Houston Rockets,"Trevor, Ariza",F,39,130,32.994899749756,130,49,93,1.0,35,248,52.688172043011,57.52688172043,11.538461538462,16.923076923077,8.4615384615385,0.0,48.461538461538
PRBallHandler,Golden State Warriors,"Stephen, Curry",G,29,117,36.222900390625,76,24,90,0.64957302808762,265,37,26.666666666667,30.555555555556,11.965811965812,12.820512820513,9.4017094017094,1.7094017094017,30.769230769231
PRBallHandler,Boston Celtics,"Jayson, Tatum",F,44,89,22.531600952148,62,25,66,0.69662898778915,247,55,37.878787878788,45.454545454545,3.3707865168539,23.595505617978,3.3707865168539,1.123595505618,29.213483146067
PRBallHandler,Houston Rockets,"James, Harden",G,35,97,21.555599212646,87,32,67,0.89690697193146,105,197,47.761194029851,55.223880597015,10.309278350515,21.649484536082,5.1546391752577,1.0309278350515,42.268041237113
PRBallHandler,Cleveland Cavaliers,"JR, Smith",G,41,109,27.525299072266,102,40,89,0.93577998876572,82,220,44.943820224719,50.0,9.1743119266055,11.926605504587,6.4220183486239,2.7522935779817,43.119266055046
PRBallHandler,Cleveland Cavaliers,"Iman, Shumpert",F-G,13,50,48.076900482178,42,13,34,0.83999997377396,155,144,38.235294117647,41.176470588235,18.0,18.0,18.0,4.0,40.0
PRBallHandler,Cleveland Cavaliers,"Jae, Crowder",F,42,56,14.973299980164,42,15,36,0.75,222,77,41.666666666667,48.611111111111,8.9285714285714,26.785714285714,8.9285714285714,0.0,35.714285714286
PRBallHandler,Boston Celtics,"Terry, Rozier III",G,44,151,39.841701507568,104,40,120,0.68874198198318,254,48,33.333333333333,35.833333333333,6.6225165562914,13.907284768212,6.6225165562914,0.0,33.112582781457
PRBallHandler,Boston Celtics,"Marcus, Smart",G,42,157,34.2047996521,119,45,123,0.7579619884491,217,85,36.585365853659,37.80487804878,10.191082802548,12.738853503185,8.2802547770701,1.2738853503185,37.579617834395
PRBallHandler,Houston Rockets,"Chris, Paul",G,24,81,32.530101776123,57,22,58,0.70370399951935,243,58,37.931034482759,39.655172413793,9.8765432098765,22.222222222222,7.4074074074074,3.7037037037037,33.333333333333
PRBallHandler,Boston Celtics,"Kyrie, Irving",G,42,172,38.307399749756,134,48,126,0.77907001972198,202,100,38.095238095238,40.079365079365,11.046511627907,16.279069767442,10.46511627907,0.58139534883721,37.790697674419
PRBallHandler,Golden State Warriors,"Klay, Thompson",G,43,159,32.449001312256,143,53,121,0.89937102794647,103,199,43.801652892562,46.694214876033,12.578616352201,16.352201257862,11.949685534591,5.0314465408805,40.880503144654
PRRollman,Phoenix Suns,"Alec, Peters",F,4,1,5.2631602287292,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRollman,Golden State Warriors,"Kevon, Looney",F,34,3,1.6483500003815,0,0,2,0.0,0,0,0.0,0.0,0.0,33.333333333333,0.0,0.0,0.0
PRRollman,Detroit Pistons,"Dwight, Buycks",G,9,1,2.1739099025726,3,1,1,3.0,0,0,100.0,150.0,0.0,0.0,0.0,0.0,100.0
PRRollman,Memphis Grizzlies,"Wayne, Selden",G,7,1,3.7037000656128,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRollman,Houston Rockets,"Tarik, Black",C-F,32,4,2.6315801143646,4,2,4,1.0,0,0,50.0,50.0,0.0,0.0,0.0,0.0,50.0
PRRollman,Oklahoma City Thunder,"Terrance, Ferguson",G,28,3,2.1897799968719,8,3,3,2.6666700839996,0,0,100.0,133.33333333333,0.0,0.0,0.0,0.0,100.0
PRRollman,Phoenix Suns,"Josh, Jackson",F,42,1,0.29940098524094,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRollman,Los Angeles Clippers,"Tyrone, Wallace",G,5,1,2.1739099025726,2,1,1,2.0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
PRRollman,Dallas Mavericks,"Devin, Harris",G,38,3,1.2766000032425,4,2,3,1.3333300352097,0,0,66.666666666667,66.666666666667,0.0,0.0,0.0,0.0,66.666666666667
PRRollman,Phoenix Suns,"Danuel, House",G,11,1,1.6949199438095,2,1,1,2.0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
PRRollman,Cleveland Cavaliers,"Isaiah, Thomas",G,4,1,3.7037000656128,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRollman,Houston Rockets,"Gerald, Green",G-F,9,1,1.2986999750137,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRollman,Phoenix Suns,"Isaiah, Canaan",,11,1,1.1363600492477,2,1,1,2.0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
PRRollman,New Orleans Pelicans,"Ian, Clark",G,36,1,0.64516097307205,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRollman,Sacramento Kings,"De Aaron, Fox",G,35,1,0.32573300600052,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRollman,Los Angeles Clippers,"Milos, Teodosic",G,15,1,0.85470098257065,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRollman,Denver Nuggets,"Torrey, Craig",G-F,15,4,4.3955998420715,3,1,2,0.75,0,0,50.0,50.0,25.0,25.0,25.0,0.0,50.0
PRRollman,Sacramento Kings,"Frank, Mason",G,29,2,1.2121200561523,0,0,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRollman,Brooklyn Nets,"Nik, Stauskas",G,15,2,2.6315801143646,4,2,2,2.0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
PRRollman,San Antonio Spurs,"Davis, Bertans",F,40,9,5.0,10,4,9,1.1111099720001,0,0,44.444444444444,55.555555555556,0.0,0.0,0.0,0.0,44.444444444444
PRRollman,Brooklyn Nets,"Jahlil, Okafor",C,7,8,14.545499801636,6,3,8,0.75,0,0,37.5,37.5,0.0,0.0,0.0,0.0,37.5
PRRollman,Portland Trail Blazers,"Zach, Collins",C-F,27,11,6.4327502250671,12,5,10,1.0909099578857,61,120,50.0,60.0,0.0,9.0909090909091,0.0,0.0,45.454545454545
PRRollman,Houston Rockets,"Chris, Paul",G,24,3,1.2048200368881,2,1,3,0.66666698455811,0,0,33.333333333333,33.333333333333,0.0,0.0,0.0,0.0,33.333333333333
PRRollman,Los Angeles Clippers,"C.J., Williams",G,28,3,1.5228400230408,2,1,2,0.66666698455811,0,0,50.0,50.0,0.0,33.333333333333,0.0,0.0,33.333333333333
PRRollman,Orlando Magic,"Wesley, Iwundu",F,25,6,5.0420198440552,8,3,6,1.3333300352097,0,0,50.0,58.333333333333,16.666666666667,0.0,16.666666666667,16.666666666667,50.0
PRRollman,Denver Nuggets,"Malik, Beasley",G,38,2,1.9607800245285,0,0,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRollman,Washington Wizards,"Jason, Smith",F-C,15,1,1.3333300352097,3,1,1,3.0,0,0,100.0,150.0,0.0,0.0,0.0,0.0,100.0
PRRollman,Brooklyn Nets,"Isaiah, Whitehead",G,11,1,1.5384600162506,3,1,1,3.0,0,0,100.0,150.0,0.0,0.0,0.0,0.0,100.0
PRRollman,Chicago Bulls,"Nikola, Mirotic",F,18,11,6.5476198196411,16,6,11,1.4545500278473,10,170,54.545454545455,72.727272727273,0.0,0.0,0.0,0.0,54.545454545455
PRRollman,Sacramento Kings,"Vince, Carter",G-F,26,6,5.0,5,2,5,0.83333301544189,0,0,40.0,50.0,0.0,16.666666666667,0.0,0.0,33.333333333333
PRRollman,Oklahoma City Thunder,"Kyle, Singler",G,3,1,7.6923098564148,3,1,1,3.0,0,0,100.0,150.0,0.0,0.0,0.0,0.0,100.0
