TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,W_ON,W_OFF,W_DIFF,L_ON,L_OFF,L_DIFF,W_PCT_ON,W_PCT_OFF,W_PCT_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,PTS_OFF_TOV_ON,PTS_OFF_TOV_OFF,PTS_OFF_TOV_DIFF,PTS_2ND_CHANCE_ON,PTS_2ND_CHANCE_OFF,PTS_2ND_CHANCE_DIFF,PTS_FB_ON,PTS_FB_OFF,PTS_FB_DIFF,PTS_PAINT_ON,PTS_PAINT_OFF,PTS_PAINT_DIFF,OPP_PTS_OFF_TOV_ON,OPP_PTS_OFF_TOV_OFF,OPP_PTS_OFF_TOV_DIFF,OPP_PTS_2ND_CHANCE_ON,OPP_PTS_2ND_CHANCE_OFF,OPP_PTS_2ND_CHANCE_DIFF,OPP_PTS_FB_ON,OPP_PTS_FB_OFF,OPP_PTS_FB_DIFF,OPP_PTS_PAINT_ON,OPP_PTS_PAINT_OFF,OPP_PTS_PAINT_DIFF
Chicago Bulls,"Pondexter, Quincy",19.0,41,-22.0,5.0,14,-9.0,14.0,27,-13.0,0.263,0.341,-0.078,12.5,1.3,11.2,12.8,13.8,-1.0,8.6,10.8,-2.2,10.2,9.9,0.3,36.1,40.4,-4.3,18.0,16.0,2.0,11.0,11.3,-0.3,9.4,11.4,-2.0,40.8,45.3,-4.5
Chicago Bulls,"Portis, Bobby",32.0,41,-9.0,12.0,14,-2.0,20.0,27,-7.0,0.375,0.341,0.034,3.5,1.7,1.8,15.5,12.9,2.6,12.9,9.4,3.5,11.9,9.0,2.9,42.9,38.6,4.3,12.5,18.0,-5.5,13.7,10.1,3.6,10.5,11.6,-1.1,43.1,45.8,-2.7
Chicago Bulls,"Valentine, Denzel",41.0,41,0.0,14.0,14,0.0,27.0,27,0.0,0.341,0.341,0.0,2.0,2.8,-0.8,12.7,15.3,-2.6,10.3,11.0,-0.7,9.3,10.8,-1.5,39.4,40.9,-1.5,16.9,15.1,1.8,10.4,12.5,-2.1,11.1,11.5,-0.4,44.5,45.3,-0.8
Chicago Bulls,"Zipser, Paul",38.0,41,-3.0,13.0,14,-1.0,25.0,27,-2.0,0.342,0.341,0.001,4.3,1.6,2.7,14.2,13.6,0.6,10.1,10.7,-0.6,8.5,10.5,-2.0,40.0,40.0,0.0,17.4,15.7,1.7,12.0,11.0,1.0,10.6,11.5,-0.9,49.0,43.3,5.7
Dallas Mavericks,"Barea, J.J.",41.0,41,0.0,13.0,13,0.0,28.0,28,0.0,0.317,0.317,0.0,2.5,2.4,0.1,14.9,12.8,2.1,9.2,10.5,-1.3,7.9,9.6,-1.7,43.3,36.8,6.5,15.3,14.3,1.0,10.3,11.3,-1.0,14.3,15.6,-1.3,38.4,43.3,-4.9
Dallas Mavericks,"Barnes, Harrison",41.0,41,0.0,13.0,13,0.0,28.0,28,0.0,0.317,0.317,0.0,1.7,4.5,-2.8,11.7,19.3,-7.6,9.5,11.0,-1.5,8.8,8.6,0.2,38.2,44.6,-6.4,15.0,14.2,0.8,11.0,10.2,0.8,14.9,15.0,-0.1,43.6,33.9,9.7
Dallas Mavericks,"Clavell, Gian",7.0,41,-34.0,0.0,13,-13.0,7.0,28,-21.0,0.0,0.317,-0.317,35.9,1.3,34.6,15.8,13.7,2.1,7.5,10.0,-2.5,6.8,8.9,-2.1,31.5,40.3,-8.8,16.5,14.7,1.8,11.3,10.8,0.5,4.5,15.3,-10.8,34.5,41.1,-6.6
Dallas Mavericks,"Cleveland, Antonius",13.0,27,-14.0,5.0,11,-6.0,8.0,16,-8.0,0.385,0.407,-0.022,31.3,2.0,29.3,14.3,13.5,0.8,11.8,8.9,2.9,4.4,9.5,-5.1,43.5,42.5,1.0,14.9,13.8,1.1,13.1,9.9,3.2,17.4,16.3,1.1,43.5,41.0,2.5
Dallas Mavericks,"Collinsworth, Kyle",3.0,11,-8.0,1.0,5,-4.0,2.0,6,-4.0,0.333,0.455,-0.122,137.0,4.7,132.3,17.6,15.2,2.4,0.0,8.9,-8.9,10.1,9.6,0.5,45.3,44.6,0.7,15.1,14.2,0.9,10.1,8.3,1.8,32.7,13.8,18.9,35.2,42.4,-7.2
Dallas Mavericks,"Ferrell, Yogi",41.0,41,0.0,13.0,13,0.0,28.0,28,0.0,0.317,0.317,0.0,2.2,2.9,-0.7,15.8,11.1,4.7,11.4,7.8,3.6,8.4,9.4,-1.0,38.8,41.5,-2.7,13.6,16.3,-2.7,10.1,11.8,-1.7,13.9,16.4,-2.5,40.0,42.1,-2.1
Dallas Mavericks,"Finney-Smith, Dorian",8.0,41,-33.0,2.0,13,-11.0,6.0,28,-22.0,0.25,0.317,-0.067,26.4,1.3,25.1,12.7,13.8,-1.1,12.7,9.7,3.0,5.8,8.9,-3.1,33.9,40.3,-6.4,12.2,14.9,-2.7,13.8,10.7,3.1,11.7,15.1,-3.4,32.9,41.3,-8.4
Dallas Mavericks,"Harris, Devin",35.0,41,-6.0,13.0,13,0.0,22.0,28,-6.0,0.371,0.317,0.054,3.6,1.9,1.7,16.8,12.3,4.5,9.1,10.3,-1.2,9.2,8.6,0.6,43.3,38.3,5.0,15.1,14.6,0.5,10.9,10.8,0.1,14.2,15.3,-1.1,36.3,43.2,-6.9
Dallas Mavericks,"Kleber, Maxi",35.0,41,-6.0,11.0,13,-2.0,24.0,28,-4.0,0.314,0.317,-0.003,3.8,1.8,2.0,11.9,14.7,-2.8,10.0,9.8,0.2,9.4,8.5,0.9,39.6,40.2,-0.6,12.7,15.8,-3.1,10.3,11.0,-0.7,17.1,13.9,3.2,44.3,39.3,5.0
Dallas Mavericks,"Matthews, Wesley",41.0,41,0.0,13.0,13,0.0,28.0,28,0.0,0.317,0.317,0.0,1.7,4.3,-2.6,12.2,17.8,-5.6,9.3,11.4,-2.1,8.8,8.8,0.0,39.3,41.6,-2.3,15.2,13.8,1.4,10.8,10.7,0.1,15.4,13.9,1.5,43.6,34.2,9.4
Dallas Mavericks,"Mejri, Salah",36.0,41,-5.0,12.0,13,-1.0,24.0,28,-4.0,0.333,0.317,0.016,6.1,1.5,4.6,11.3,14.4,-3.1,10.6,9.7,0.9,8.9,8.8,0.1,37.1,40.7,-3.6,12.7,15.3,-2.6,12.1,10.5,1.6,12.7,15.5,-2.8,36.4,42.1,-5.7
Dallas Mavericks,"Motley, Johnathan",1.0,41,-40.0,0.0,13,-13.0,1.0,28,-27.0,0.0,0.317,-0.317,1379.3,1.2,1378.1,0.0,13.8,-13.8,53.2,9.8,43.4,26.6,8.8,17.8,106.4,39.9,66.5,0.0,14.8,-14.8,0.0,10.8,-10.8,0.0,15.0,-15.0,0.0,41.0,-41.0
Dallas Mavericks,"Noel, Nerlens",18.0,41,-23.0,4.0,13,-9.0,14.0,28,-14.0,0.222,0.317,-0.095,10.7,1.4,9.3,11.1,14.1,-3.0,12.2,9.6,2.6,7.2,9.0,-1.8,32.7,40.9,-8.2,22.5,13.8,8.7,9.0,11.0,-2.0,15.3,14.9,0.4,44.1,40.5,3.6
Dallas Mavericks,"Nowitzki, Dirk",41.0,41,0.0,13.0,13,0.0,28.0,28,0.0,0.317,0.317,0.0,2.3,2.6,-0.3,14.6,12.9,1.7,8.5,11.4,-2.9,9.4,8.1,1.3,42.1,37.5,4.6,14.3,15.3,-1.0,11.3,10.3,1.0,16.3,13.4,2.9,40.9,40.9,0.0
Dallas Mavericks,"Powell, Dwight",40.0,41,-1.0,13.0,13,0.0,27.0,28,-1.0,0.325,0.317,0.008,3.3,1.9,1.4,18.4,11.1,7.3,10.5,9.5,1.0,8.6,8.9,-0.3,42.3,38.6,3.7,15.3,14.5,0.8,10.7,10.9,-0.2,14.0,15.5,-1.5,37.3,43.0,-5.7
Dallas Mavericks,"Smith Jr., Dennis",33.0,41,-8.0,12.0,13,-1.0,21.0,28,-7.0,0.364,0.317,0.047,2.6,2.3,0.3,12.1,15.3,-3.2,10.5,9.3,1.2,10.0,7.7,2.3,38.9,41.0,-2.1,15.3,14.3,1.0,10.9,10.7,0.2,16.3,13.8,2.5,43.2,38.9,4.3
Dallas Mavericks,"Withey, Jeff",9.0,41,-32.0,2.0,13,-11.0,7.0,28,-21.0,0.222,0.317,-0.095,58.4,1.3,57.1,14.6,13.8,0.8,15.9,9.8,6.1,8.5,8.8,-0.3,41.5,39.9,1.6,13.4,14.8,-1.4,12.2,10.8,1.4,6.1,15.1,-9.0,26.8,41.2,-14.4
Denver Nuggets,"Arthur, Darrell",5.0,40,-35.0,2.0,21,-19.0,3.0,19,-16.0,0.4,0.525,-0.125,48.8,1.2,47.6,23.3,16.7,6.6,9.5,15.2,-5.7,15.9,13.9,2.0,48.7,49.3,-0.6,18.0,19.2,-1.2,20.1,10.0,10.1,4.2,11.5,-7.3,46.6,46.3,0.3
Denver Nuggets,"Barton, Will",39.0,40,-1.0,21.0,21,0.0,18.0,19,-1.0,0.538,0.525,0.013,1.9,3.3,-1.4,15.6,18.9,-3.3,15.0,15.1,-0.1,15.2,11.8,3.4,48.9,50.0,-1.1,19.7,18.1,1.6,10.3,10.2,0.1,10.9,12.1,-1.2,48.3,43.0,5.3
Denver Nuggets,"Beasley, Malik",35.0,40,-5.0,19.0,21,-2.0,16.0,19,-3.0,0.543,0.525,0.018,6.3,1.5,4.8,15.7,17.1,-1.4,15.3,15.0,0.3,12.0,14.4,-2.4,47.6,49.7,-2.1,20.0,18.9,1.1,11.3,10.0,1.3,9.2,11.8,-2.6,40.3,47.7,-7.4
Denver Nuggets,"Chandler, Wilson",36.0,40,-4.0,18.0,21,-3.0,18.0,19,-1.0,0.5,0.525,-0.025,2.1,2.8,-0.7,16.7,17.0,-0.3,14.7,15.6,-0.9,13.3,14.7,-1.4,50.2,48.1,2.1,19.2,19.0,0.2,9.7,11.0,-1.3,13.0,9.0,4.0,45.4,47.5,-2.1
Denver Nuggets,"Craig, Torrey",13.0,40,-27.0,6.0,21,-15.0,7.0,19,-12.0,0.462,0.525,-0.063,12.2,1.3,10.9,12.3,17.4,-5.1,13.3,15.3,-2.0,11.1,14.2,-3.1,47.3,49.5,-2.2,13.0,19.8,-6.8,9.6,10.3,-0.7,8.6,11.6,-3.0,50.7,45.8,4.9
Denver Nuggets,"Faried, Kenneth",26.0,40,-14.0,14.0,21,-7.0,12.0,19,-7.0,0.538,0.525,0.013,5.9,1.5,4.4,14.5,17.5,-3.0,17.0,14.5,2.5,14.8,13.7,1.1,48.2,49.6,-1.4,22.8,18.2,4.6,11.2,10.0,1.2,15.0,10.4,4.6,53.5,44.4,9.1
Denver Nuggets,"Harris, Gary",37.0,40,-3.0,20.0,21,-1.0,17.0,19,-2.0,0.541,0.525,0.016,1.8,3.5,-1.7,17.8,15.1,2.7,15.3,14.5,0.8,14.3,13.1,1.2,49.4,49.0,0.4,18.4,20.6,-2.2,10.4,9.9,0.5,11.1,11.7,-0.6,46.6,45.6,1.0
Denver Nuggets,"Hernangomez, Juan",17.0,40,-23.0,10.0,21,-11.0,7.0,19,-12.0,0.588,0.525,0.063,12.3,1.3,11.0,20.7,16.4,4.3,17.3,14.8,2.5,14.9,13.8,1.1,53.1,48.9,4.2,19.2,19.1,0.1,9.3,10.4,-1.1,14.1,11.0,3.1,47.3,46.2,1.1
Denver Nuggets,"Jefferson, Richard",10.0,40,-30.0,6.0,21,-15.0,4.0,19,-15.0,0.6,0.525,0.075,37.4,1.3,36.1,15.8,16.9,-1.1,7.9,15.3,-7.4,6.3,14.1,-7.8,41.1,49.6,-8.5,20.6,19.1,1.5,13.4,10.1,3.3,14.2,11.2,3.0,44.3,46.4,-2.1
Denver Nuggets,"Jokic, Nikola",33.0,40,-7.0,18.0,21,-3.0,15.0,19,-4.0,0.545,0.525,0.02,2.3,2.6,-0.3,16.9,16.8,0.1,15.8,14.2,1.6,13.9,13.9,0.0,51.4,47.0,4.4,19.4,18.8,0.6,8.4,12.3,-3.9,10.8,12.0,-1.2,44.1,48.8,-4.7
