AST_ON_MADE,AST_ON_RECEIVED,FG2A_ON_MADE,FG2A_ON_RECEIVED,FG2M_ON_MADE,FG2M_ON_RECEIVED,FG2_PCT_ON_MADE,FG2_PCT_ON_RECEIVED,FG3A_ON_MADE,FG3A_ON_RECEIVED,FG3M_ON_MADE,FG3M_ON_RECEIVED,FG3_PCT_ON_MADE,FG3_PCT_ON_RECEIVED,FGA_ON_MADE,FGA_ON_RECEIVED,FGM_ON_MADE,FGM_ON_RECEIVED,FG_PCT_ON_MADE,FG_PCT_ON_RECEIVED,FREQUENCY_ON_MADE,FREQUENCY_ON_RECEIVED,G_ON_MADE,G_ON_RECEIVED,PASS_ON_MADE,PASS_ON_RECEIVED,PLAYER_NAME,TEAM_NAME
0.0,1.0,3.0,11.0,1.0,4.0,0.333,0.364,1.0,1.0,0.0,1.0,0.0,1.0,4.0,12.0,1.0,5.0,0.25,0.417,0.079,0.109,1,1,21.0,29.0,"Aldridge, LaMarcus",San Antonio Spurs
1.0,1.0,3.0,2.0,1.0,1.0,0.333,0.5,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.25,0.333,0.034,0.03,1,1,9.0,8.0,"Belinelli, Marco",San Antonio Spurs
3.0,2.0,12.0,7.0,3.0,2.0,0.25,0.286,8.0,7.0,1.0,4.0,0.125,0.571,20.0,14.0,4.0,6.0,0.2,0.429,0.19,0.21,1,1,58.0,64.0,"Paul, Chris",Oklahoma City Thunder
4.0,1.0,15.0,5.0,8.0,0.0,0.533,0.0,5.0,3.0,2.0,1.0,0.4,0.333,20.0,8.0,10.0,1.0,0.5,0.125,0.19,0.207,1,1,58.0,63.0,"Schroder, Dennis",Oklahoma City Thunder
1.0,5.0,6.0,19.0,1.0,7.0,0.167,0.368,1.0,7.0,1.0,3.0,1.0,0.429,7.0,26.0,2.0,10.0,0.286,0.385,0.121,0.177,1,1,37.0,54.0,"Gilgeous-Alexander, Shai",Oklahoma City Thunder
2.0,4.0,4.0,8.0,1.0,5.0,0.25,0.625,2.0,5.0,2.0,2.0,1.0,0.4,6.0,13.0,3.0,7.0,0.5,0.538,0.121,0.125,1,1,37.0,38.0,"Gallinari, Danilo",Oklahoma City Thunder
2.0,0.0,6.0,1.0,1.0,0.0,0.167,0.0,7.0,3.0,2.0,0.0,0.286,0.0,13.0,4.0,3.0,0.0,0.231,0.0,0.121,0.069,1,1,37.0,21.0,"Muscala, Mike",Oklahoma City Thunder
0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.033,0.026,1,1,10.0,8.0,"Bazley, Darius",Oklahoma City Thunder
6.0,3.0,19.0,7.0,8.0,1.0,0.421,0.143,7.0,11.0,3.0,3.0,0.429,0.273,26.0,18.0,11.0,4.0,0.423,0.222,0.232,0.259,1,1,87.0,97.0,"Lowry, Kyle",Toronto Raptors
7.0,5.0,11.0,12.0,5.0,7.0,0.455,0.583,12.0,7.0,3.0,5.0,0.25,0.714,23.0,19.0,8.0,12.0,0.348,0.632,0.187,0.205,1,1,70.0,77.0,"VanVleet, Fred",Toronto Raptors
1.0,2.0,7.0,4.0,2.0,1.0,0.286,0.25,3.0,4.0,1.0,1.0,0.333,0.25,10.0,8.0,3.0,2.0,0.3,0.25,0.155,0.125,1,1,58.0,47.0,"Gasol, Marc",Toronto Raptors
5.0,5.0,8.0,18.0,4.0,9.0,0.5,0.5,5.0,5.0,4.0,2.0,0.8,0.4,13.0,23.0,8.0,11.0,0.615,0.478,0.155,0.16,1,1,58.0,60.0,"Siakam, Pascal",Toronto Raptors
2.0,2.0,5.0,2.0,2.0,1.0,0.4,0.5,4.0,5.0,1.0,1.0,0.25,0.2,9.0,7.0,3.0,2.0,0.333,0.286,0.083,0.08,1,1,31.0,30.0,"Powell, Norman",Toronto Raptors
0.0,4.0,3.0,7.0,0.0,4.0,0.0,0.571,5.0,4.0,1.0,1.0,0.2,0.25,8.0,11.0,1.0,5.0,0.125,0.455,0.077,0.075,1,1,29.0,28.0,"Anunoby, OG",Toronto Raptors
0.0,1.0,2.0,8.0,1.0,2.0,0.5,0.25,1.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,1.0,2.0,0.333,0.222,0.064,0.064,1,1,24.0,24.0,"Ibaka, Serge",Toronto Raptors
2.0,1.0,4.0,1.0,3.0,0.0,0.75,0.0,3.0,3.0,1.0,1.0,0.333,0.333,7.0,4.0,4.0,1.0,0.571,0.25,0.048,0.032,1,1,18.0,12.0,"Davis, Terence",Toronto Raptors
1.0,1.0,7.0,4.0,3.0,2.0,0.429,0.5,3.0,4.0,1.0,1.0,0.333,0.25,10.0,8.0,4.0,3.0,0.4,0.375,0.146,0.115,1,1,33.0,26.0,"Ingles, Joe",Utah Jazz
0.0,6.0,8.0,4.0,3.0,4.0,0.375,1.0,5.0,2.0,0.0,2.0,0.0,1.0,13.0,6.0,3.0,6.0,0.231,1.0,0.133,0.088,1,1,30.0,20.0,"O'Neale, Royce",Utah Jazz
5.0,0.0,9.0,8.0,5.0,5.0,0.556,0.625,4.0,1.0,3.0,0.0,0.75,0.0,13.0,9.0,8.0,5.0,0.615,0.556,0.124,0.164,1,1,28.0,37.0,"Mudiay, Emmanuel",Utah Jazz
2.0,3.0,5.0,13.0,3.0,10.0,0.6,0.769,4.0,3.0,1.0,1.0,0.25,0.333,9.0,16.0,4.0,11.0,0.444,0.688,0.102,0.168,1,1,23.0,38.0,"Mitchell, Donovan",Utah Jazz
1.0,1.0,6.0,3.0,4.0,0.0,0.667,0.0,1.0,3.0,0.0,1.0,0.0,0.333,7.0,6.0,4.0,1.0,0.571,0.167,0.053,0.062,1,1,12.0,14.0,"Green, Jeff",Utah Jazz
4.0,4.0,8.0,13.0,3.0,6.0,0.375,0.462,4.0,1.0,1.0,0.0,0.25,0.0,12.0,14.0,4.0,6.0,0.333,0.429,0.154,0.197,1,1,50.0,64.0,"Morant, Ja",Memphis Grizzlies
7.0,1.0,9.0,12.0,8.0,6.0,0.889,0.5,7.0,1.0,0.0,0.0,0.0,0.0,16.0,13.0,8.0,6.0,0.5,0.462,0.129,0.163,1,1,42.0,53.0,"Jones, Tyus",Memphis Grizzlies
1.0,2.0,5.0,4.0,2.0,1.0,0.4,0.25,2.0,1.0,0.0,1.0,0.0,1.0,7.0,5.0,2.0,2.0,0.286,0.4,0.117,0.068,1,1,38.0,22.0,"Clarke, Brandon",Memphis Grizzlies
0.0,3.0,5.0,8.0,0.0,5.0,0.0,0.625,1.0,6.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,5.0,0.0,0.357,0.114,0.117,1,1,37.0,38.0,"Jackson Jr., Jaren",Memphis Grizzlies
2.0,1.0,5.0,4.0,3.0,1.0,0.6,0.25,2.0,7.0,0.0,1.0,0.0,0.143,7.0,11.0,3.0,2.0,0.429,0.182,0.102,0.111,1,1,33.0,36.0,"Crowder, Jae",Memphis Grizzlies
0.0,1.0,9.0,1.0,3.0,1.0,0.333,1.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,3.0,1.0,0.25,0.5,0.092,0.052,1,1,30.0,17.0,"Anderson, Kyle",Memphis Grizzlies
1.0,2.0,5.0,6.0,2.0,3.0,0.4,0.5,1.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,3.0,0.333,0.375,0.077,0.065,1,1,25.0,21.0,"Valanciunas, Jonas",Memphis Grizzlies
2.0,3.0,8.0,5.0,4.0,4.0,0.5,0.8,1.0,3.0,0.0,0.0,0.0,0.0,9.0,8.0,4.0,4.0,0.444,0.5,0.065,0.08,1,1,21.0,26.0,"Guduric, Marko",Memphis Grizzlies
1.0,2.0,2.0,4.0,1.0,1.0,0.5,0.25,4.0,2.0,1.0,1.0,0.25,0.5,6.0,6.0,2.0,2.0,0.333,0.333,0.055,0.052,1,1,18.0,17.0,"Brooks, Dillon",Memphis Grizzlies
2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,0.5,0.2,5.0,6.0,4.0,2.0,0.8,0.333,0.046,0.055,1,1,15.0,18.0,"Allen, Grayson",Memphis Grizzlies
3.0,2.0,6.0,1.0,2.0,0.0,0.333,0.0,11.0,3.0,3.0,2.0,0.273,0.667,17.0,4.0,5.0,2.0,0.294,0.5,0.153,0.168,1,1,51.0,56.0,"Chiozza, Chris",Washington Wizards
9.0,3.0,14.0,14.0,6.0,6.0,0.429,0.429,8.0,9.0,3.0,0.0,0.375,0.0,22.0,23.0,9.0,6.0,0.409,0.261,0.15,0.21,1,1,50.0,70.0,"Beal, Bradley",Washington Wizards
3.0,3.0,6.0,7.0,4.0,3.0,0.667,0.429,2.0,2.0,0.0,0.0,0.0,0.0,8.0,9.0,4.0,3.0,0.5,0.333,0.132,0.108,1,1,44.0,36.0,"Bryant, Thomas",Washington Wizards
4.0,2.0,9.0,4.0,5.0,2.0,0.556,0.5,3.0,4.0,0.0,1.0,0.0,0.25,12.0,8.0,5.0,3.0,0.417,0.375,0.129,0.144,1,1,43.0,48.0,"Smith, Ish",Washington Wizards
3.0,2.0,3.0,5.0,1.0,2.0,0.333,0.4,5.0,3.0,2.0,1.0,0.4,0.333,8.0,8.0,3.0,3.0,0.375,0.375,0.099,0.099,1,1,33.0,33.0,"McRae, Jordan",Washington Wizards
0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.333,4.0,8.0,0.0,2.0,0.0,0.25,0.096,0.069,1,1,32.0,23.0,"Bertans, Davis",Washington Wizards
2.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,4.0,5.0,3.0,4.0,0.75,0.8,0.066,0.045,1,1,22.0,15.0,"Bonga, Isaac",Washington Wizards
1.0,6.0,12.0,10.0,0.0,6.0,0.0,0.6,2.0,1.0,1.0,0.0,0.5,0.0,14.0,11.0,1.0,6.0,0.071,0.545,0.184,0.135,1,1,53.0,39.0,"Drummond, Andre",Detroit Pistons
5.0,1.0,11.0,1.0,5.0,1.0,0.455,1.0,3.0,2.0,1.0,1.0,0.333,0.5,14.0,3.0,6.0,2.0,0.429,0.667,0.125,0.125,1,1,36.0,36.0,"Jackson, Reggie",Detroit Pistons
2.0,4.0,7.0,3.0,2.0,2.0,0.286,0.667,2.0,4.0,1.0,2.0,0.5,0.5,9.0,7.0,3.0,4.0,0.333,0.571,0.122,0.083,1,1,35.0,24.0,"Snell, Tony",Detroit Pistons
3.0,3.0,6.0,8.0,5.0,2.0,0.833,0.25,1.0,4.0,1.0,1.0,1.0,0.25,7.0,12.0,6.0,3.0,0.857,0.25,0.108,0.115,1,1,31.0,33.0,"Morris, Markieff",Detroit Pistons
2.0,6.0,3.0,7.0,2.0,2.0,0.667,0.286,3.0,9.0,0.0,6.0,0.0,0.667,6.0,16.0,2.0,8.0,0.333,0.5,0.083,0.115,1,1,24.0,33.0,"Kennard, Luke",Detroit Pistons
6.0,2.0,12.0,4.0,5.0,0.0,0.417,0.0,8.0,5.0,3.0,2.0,0.375,0.4,20.0,9.0,8.0,2.0,0.4,0.222,0.211,0.226,1,1,69.0,74.0,"Rozier, Terry",Charlotte Hornets
1.0,5.0,7.0,6.0,2.0,5.0,0.286,0.833,4.0,2.0,2.0,0.0,0.5,0.0,11.0,8.0,4.0,5.0,0.364,0.625,0.177,0.107,1,1,58.0,35.0,"Zeller, Cody",Charlotte Hornets
8.0,3.0,11.0,2.0,7.0,1.0,0.636,0.5,9.0,7.0,5.0,6.0,0.556,0.857,20.0,9.0,12.0,7.0,0.6,0.778,0.162,0.183,1,1,53.0,60.0,"Graham, Devonte'",Charlotte Hornets
1.0,8.0,2.0,5.0,0.0,1.0,0.0,0.2,3.0,11.0,2.0,7.0,0.667,0.636,5.0,16.0,2.0,8.0,0.4,0.5,0.135,0.131,1,1,44.0,43.0,"Washington, P.J.",Charlotte Hornets
3.0,2.0,2.0,15.0,0.0,5.0,0.0,0.333,4.0,7.0,3.0,2.0,0.75,0.286,6.0,22.0,3.0,7.0,0.5,0.318,0.098,0.144,1,1,32.0,47.0,"Bacon, Dwayne",Charlotte Hornets
3.0,0.0,4.0,5.0,2.0,4.0,0.5,0.8,7.0,2.0,3.0,0.0,0.429,0.0,11.0,7.0,5.0,4.0,0.455,0.571,0.086,0.073,1,1,28.0,24.0,"Bridges, Miles",Charlotte Hornets
3.0,2.0,3.0,3.0,2.0,2.0,0.667,0.667,2.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,0.8,0.75,0.031,0.052,1,1,10.0,17.0,"Monk, Malik",Charlotte Hornets
