RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
129,"Al-Farouq Aminu, PF",POR,35,30.2,-0.17,1.06,0.89,2.62
130,"Gordon Hayward, SF",BOS,1,5.0,-1.48,0.04,-1.44,0.01
131,"Luke Babbitt, SF",ATL,33,16.6,0.56,-1.04,-0.48,0.92
132,"Paul George, SF",OKC,44,36.4,1.88,0.94,2.82,5.90
133,"Quincy Pondexter, SG",CHI,21,9.0,-3.19,-0.62,-3.81,-0.08
134,"Derrick Favors, PF",UTAH,45,28.1,-1.44,1.04,-0.40,2.13
135,"DeMarcus Cousins, C",NO,47,36.3,2.80,2.47,5.27,8.95
136,"Ed Davis, PF",POR,48,18.5,-1.67,1.94,0.27,1.82
137,"Greg Monroe, C",MIL/PHX,22,21.8,-0.97,-0.01,-0.98,0.62
138,"Ekpe Udoh, C",UTAH,42,16.2,-0.53,2.69,2.16,2.25
139,"Hassan Whiteside, C",MIA,29,26.1,-2.19,4.76,2.57,2.76
140,"Patrick Patterson, PF",OKC,47,14.6,-1.42,0.38,-1.04,0.86
141,"Cole Aldrich, C",MIN,11,2.3,-1.72,1.03,-0.69,0.04
142,"Nemanja Bjelica, PF",MIN,35,15.1,0.05,0.49,0.54,1.16
143,"Trevor Booker, PF",BKN/PHI,37,18.3,-0.83,0.04,-0.79,1.00
144,"Timofey Mozgov, C",BKN,25,12.8,-2.86,1.19,-1.67,0.31
145,"Jeremy Lin, PG",BKN,1,25.0,-1.35,-0.36,-1.71,0.03
146,"Ish Smith, PG",DET,46,22.9,-0.95,-0.56,-1.51,1.04
147,"Boban Marjanovic, C",DET,18,8.7,-1.47,1.15,-0.32,0.26
148,"Mirza Teletovic, PF",MIL,10,15.9,-1.17,0.35,-0.82,0.23
149,"Davis Bertans, SF",SA,46,14.0,0.32,0.00,0.32,1.26
150,"Bismack Biyombo, C",ORL,47,18.6,-3.79,0.12,-3.67,-0.29
151,"Alec Burks, SG",UTAH,44,18.4,0.28,-1.27,-0.99,1.07
152,"Jimmy Butler, SG",MIN,45,36.9,3.72,1.76,5.48,8.88
153,"Kenneth Faried, PF",DEN,30,14.9,-1.48,0.14,-1.34,0.50
154,"Tobias Harris, SF",DET,46,32.7,3.15,-0.87,2.28,5.04
155,"Kyrie Irving, PG",BOS,46,32.9,3.93,-0.81,3.12,5.66
156,"Reggie Jackson, PG",DET,33,27.1,0.66,-0.99,-0.33,1.59
157,"Cory Joseph, PG",IND,48,25.9,0.04,-1.46,-1.42,1.31
158,"Enes Kanter, C",NY,45,25.3,-0.68,-0.23,-0.91,1.57
159,"Kawhi Leonard, SF",SA,9,23.3,-0.86,1.68,0.82,0.53
160,"Jon Leuer, PF",DET,8,17.0,-2.21,1.44,-0.77,0.21
161,"DeAndre Liggins, SG",NO/MIL,33,15.0,-2.59,-0.35,-2.94,0.05
162,"Shelvin Mack, PG",ORL,34,16.5,-0.88,0.02,-0.86,0.79
163,"Nikola Mirotic, PF",CHI,23,24.8,1.87,-0.05,1.82,1.77
164,"E'Twaun Moore, SG",NO,47,32.5,0.50,-2.75,-2.25,0.84
165,"Markieff Morris, PF",WSH,39,25.1,-2.08,0.23,-1.85,0.80
