RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
174,"Klay Thompson, SG",GS,66,34.4,2.03,-0.13,1.90,7.56
175,"Jonas Valanciunas, C",TOR,66,22.6,-0.23,0.98,0.75,3.56
176,"Nikola Vucevic, C",ORL,47,30.1,0.35,1.74,2.09,4.75
177,"Kemba Walker, PG",CHA,68,34.8,4.30,-1.00,3.30,9.53
178,"Derrick Williams, PF",LAL,2,4.5,-2.11,1.25,-0.86,0.01
179,"Lance Thomas, SF",NY,65,18.5,-2.55,0.12,-2.43,0.52
180,"Dwight Buycks, PG",DET,26,15.7,-1.60,-0.14,-1.74,0.32
181,"Julyan Stone, PG",CHA,16,3.8,-1.76,0.65,-1.11,0.07
182,"Quincy Acy, SF",BKN,61,19.4,-2.34,0.21,-2.13,0.73
183,"Harrison Barnes, SF",DAL,67,34.3,-0.62,-1.71,-2.33,1.13
184,"Will Barton, SF",DEN,69,32.4,1.43,-1.43,0.00,4.35
185,"Bradley Beal, SG",WSH,70,36.5,2.65,-0.53,2.12,8.44
186,"Jae Crowder, PF",CLE/UTAH,68,26.1,-0.74,-0.65,-1.39,1.90
187,"Anthony Davis, PF",NO,63,36.5,1.71,3.13,4.84,11.49
188,"Andre Drummond, C",DET,67,33.3,0.29,1.44,1.73,6.67
189,"Evan Fournier, SG",ORL,57,32.2,1.11,-1.26,-0.15,3.60
190,"Draymond Green, PF",GS,61,33.2,0.72,2.94,3.66,8.91
191,"Maurice Harkless, SF",POR,56,20.9,-2.62,-0.33,-2.95,0.12
192,"John Henson, C",MIL,64,25.8,-1.89,2.28,0.39,3.61
193,"Michael Kidd-Gilchrist, SF",CHA,62,25.2,-1.30,0.52,-0.78,2.30
194,"Jeremy Lamb, SG",CHA,69,24.4,1.30,-0.27,1.03,4.32
195,"Meyers Leonard, C",POR,27,7.6,-1.14,0.55,-0.59,0.32
196,"Damian Lillard, PG",POR,63,36.4,4.98,-0.64,4.34,10.46
197,"Khris Middleton, SF",MIL,69,36.5,2.10,-1.52,0.58,5.85
198,"Darius Miller, SF",NO,70,23.6,1.65,-1.74,-0.09,3.14
199,"Kyle O'Quinn, C",NY,68,17.3,-0.39,2.39,2.00,3.65
200,"Miles Plumlee, C",ATL,46,16.6,-3.64,0.79,-2.85,0.14
201,"Austin Rivers, PG",LAC,49,33.6,1.13,-1.74,-0.61,2.46
202,"Terrence Ross, SG",ORL,22,26.2,-2.04,0.90,-1.14,0.76
203,"Tomas Satoransky, SG",WSH,61,21.3,1.83,0.39,2.22,4.23
204,"Mike Scott, PF",WSH,65,18.1,-0.53,-1.90,-2.43,0.51
205,"Dion Waiters, SG",MIA,30,30.6,-2.16,-0.81,-2.97,0.09
206,"Tyler Zeller, C",MIL/BKN,55,16.5,-1.75,0.75,-1.00,1.24
207,"Kent Bazemore, SG",ATL,65,27.5,0.53,1.11,1.64,5.47
208,"John Holland, SG",CLE,16,7.4,-1.98,0.19,-1.79,0.08
209,"Malcolm Delaney, PG",ATL,54,18.8,-1.37,-0.95,-2.32,0.52
210,"Jacob Pullen, PG",PHI,3,2.0,-1.32,-0.02,-1.34,0.01
211,"Justin Holiday, SG",CHI,60,33.2,0.33,0.87,1.20,5.51
212,"C.J. Williams, SF",LAC,30,19.7,-1.51,-0.09,-1.60,0.57
213,"Willie Reed, C",DET/LAC,42,10.2,-0.65,0.78,0.13,0.93
214,"JaMychal Green, PF",MEM,48,27.8,-1.93,-1.50,-3.43,-0.23
215,"Trey McKinney-Jones, SG",IND,1,1.0,-1.89,0.49,-1.40,0.00
216,"Scotty Hopson, SG",DAL,1,8.0,-1.75,0.00,-1.75,0.01
217,"Jeff Withey, C",DAL,10,3.9,-1.81,0.85,-0.96,0.05
218,"Daniel Theis, PF",BOS,63,14.8,-1.27,1.59,0.32,2.00
219,"Mason Plumlee, C",DEN,62,20.4,-1.64,1.13,-0.51,2.06
220,"Travis Wear, SF",LAL,8,11.8,-1.73,1.20,-0.53,0.02
221,"Sean Kilpatrick, SG",LAC/MIL/BKN,42,9.7,-2.37,-0.94,-3.31,-0.02
222,"Jack Cooley, PF",SAC,2,5.0,-1.68,1.25,-0.43,0.01
223,"Rodney McGruder, SG",MIA,9,19.9,-1.08,-0.71,-1.79,0.14
224,"Brandon Paul, SG",SA,57,9.4,-2.82,1.09,-1.73,0.48
225,"Reggie Hearn, SG",DET,2,1.5,-1.50,-0.03,-1.53,0.00
226,"Tim Frazier, PG",WSH,52,14.8,-1.61,0.36,-1.25,0.91
227,"Jamil Wilson, SF",LAC,15,18.3,-0.64,0.91,0.27,0.59
228,"Troy Daniels, SG",PHX,70,19.8,0.50,-3.98,-3.48,-0.31
229,"Kelly Olynyk, PF",MIA,64,23.4,1.78,0.78,2.56,5.20
230,"Matthew Dellavedova, PG",MIL,37,19.0,-1.30,-1.41,-2.71,0.18
231,"Ian Clark, SG",NO,64,19.0,-1.74,-2.87,-4.61,-1.08
232,"Mike Muscala, PF",ATL,41,18.2,-0.20,0.58,0.38,1.60
233,"CJ McCollum, SG",POR,69,36.0,1.84,-1.71,0.13,4.91
234,"Isaiah Canaan, PG",HOU/PHX,20,21.1,-0.31,-0.35,-0.66,0.66
235,"Robert Covington, SF",PHI,66,32.1,0.95,3.28,4.23,9.87
236,"Victor Oladipo, SG",IND,64,34.1,2.57,3.00,5.57,11.87
237,"Mike James, PG",NO/PHX,36,19.1,-0.41,-0.79,-1.20,0.86
238,"Tim Hardaway Jr., SF",NY,48,32.9,1.08,-0.94,0.14,3.23
239,"Kyle Collinsworth, PG",DAL,23,13.5,-1.28,-0.16,-1.44,0.02
240,"Tony Snell, SG",MIL,62,28.5,-0.03,-2.01,-2.04,1.20
241,"Joe Young, PG",IND,50,10.4,-1.99,-1.64,-3.63,-0.16
242,"Tarik Black, PF",HOU,42,10.3,-2.95,0.46,-2.49,0.18
243,"Jordan Clarkson, PG",CLE/LAL,68,23.5,0.21,-1.19,-0.98,2.17
244,"Okaro White, PF",MIA,6,13.3,-1.56,0.15,-1.41,0.09
245,"Walt Lemon Jr., PG",NO,5,7.0,-1.77,-0.55,-2.32,0.01
246,"Doug McDermott, SF",DAL/NY,70,22.0,-0.50,-1.43,-1.93,1.12
247,"Torrey Craig, SG",DEN,27,16.1,-1.89,-0.77,-2.66,0.12
