RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
441,"Michael Carter-Williams, G",HOU,16,9.1,-2.03,-1.01,-3.04,0.01
442,"Sindarius Thornwell, SG",LAC,50,5.3,-3.27,0.21,-3.06,0.01
443,"Rondae Hollis-Jefferson, SF",BKN,54,21.2,-3.17,0.10,-3.07,0.04
444,"Dragan Bender, PF",PHX,32,13.2,-3.29,0.19,-3.10,0.01
445,"Bruce Brown, SG",DET,58,20.1,-3.72,0.61,-3.11,0.01
446,"Miles Bridges, SF",CHA,65,19.3,-1.87,-1.25,-3.12,0.00
447,"Channing Frye, PF",CLE,31,9.6,-2.47,-0.70,-3.17,-0.01
448,"Marvin Bagley III, PF",SAC,47,24.8,-1.71,-1.47,-3.18,-0.04
449,"Allen Crabbe, SG",BKN,42,26.1,-2.35,-0.85,-3.20,-0.05
450,"Tyrone Wallace, SG",LAC,53,10.2,-3.04,-0.16,-3.20,-0.03
451,"Dante Cunningham, SF",SA,58,15.1,-2.30,-0.91,-3.21,-0.05
452,"Jawun Evans, PG",PHX,7,9.1,-2.33,-0.88,-3.21,0.00
453,"Harry Giles III, PF",SAC,53,13.9,-3.17,-0.04,-3.21,-0.04
454,"De'Anthony Melton, PG",PHX,39,19.0,-3.05,-0.18,-3.23,-0.05
455,"JaMychal Green, PF",LAC/MEM,53,21.3,-2.14,-1.13,-3.27,-0.10
456,"Chimezie Metu, PF",SA,28,5.0,-3.47,0.20,-3.27,-0.01
457,"Rajon Rondo, PG",LAL,32,28.6,-2.23,-1.06,-3.29,-0.10
458,"Jordan Clarkson, PG",CLE,66,27.0,0.94,-4.23,-3.29,-0.18
459,"Glenn Robinson III, SG",DET,39,12.8,-3.68,0.39,-3.29,-0.05
460,"Taurean Prince, SF",ATL,44,27.9,-1.16,-2.14,-3.30,-0.14
461,"Malik Monk, SG",CHA,60,17.6,-0.34,-2.98,-3.32,-0.13
462,"Quinn Cook, PG",GS,58,13.4,-0.58,-2.81,-3.39,-0.13
463,"Alec Burks, SG",CLE/SAC/UTAH,60,22.4,-1.23,-2.17,-3.40,-0.24
464,"Solomon Hill, SF",NO,37,20.0,-2.73,-0.67,-3.40,-0.13
465,"Josh Jackson, SF",PHX,68,24.0,-2.84,-0.66,-3.50,-0.38
466,"Dirk Nowitzki, PF",DAL,35,13.1,-2.97,-0.62,-3.59,-0.14
467,"Devonte' Graham, PG",CHA,33,13.3,-1.88,-1.73,-3.61,-0.13
468,"Marquese Chriss, PF",CLE/HOU,29,11.6,-3.19,-0.45,-3.64,-0.10
469,"Jacob Evans, SG",GS,24,4.8,-2.82,-0.82,-3.64,-0.04
470,"Omari Spellman, PF",ATL,46,17.5,-1.75,-1.90,-3.65,-0.29
471,"Evan Turner, SG",POR,58,23.1,-2.49,-1.17,-3.66,-0.43
472,"Wade Baldwin IV, G",POR,16,5.9,-2.58,-1.08,-3.66,-0.03
473,"Chandler Hutchison, SF",CHI,44,20.3,-3.48,-0.21,-3.69,-0.33
474,"Cameron Payne, G",CHI/CLE,40,17.8,-1.36,-2.36,-3.72,-0.27
475,"Hamidou Diallo, SG",OKC,46,11.2,-2.27,-1.45,-3.72,-0.20
476,"Wesley Iwundu, SF",ORL,54,17.8,-4.14,0.41,-3.73,-0.38
477,"Edmond Sumner, PG",IND,19,8.9,-3.35,-0.39,-3.74,-0.06
478,"Anfernee Simons, SG",POR,13,5.3,-2.91,-0.83,-3.74,-0.02
479,"Abdel Nader, SF",OKC,48,11.3,-2.72,-1.08,-3.80,-0.23
480,"Shelvin Mack, PG",MEM/CHA,55,22.3,-1.67,-2.15,-3.82,-0.52
481,"Patrick Patterson, PF",OKC,59,14.4,-2.81,-1.14,-3.95,-0.46
482,"Frank Mason III, PG",SAC,34,11.6,-1.92,-2.08,-4.00,-0.23
483,"Ian Clark, SG",NO,47,13.4,-2.41,-1.64,-4.05,-0.39
484,"Allonzo Trier, SG",NY,60,22.9,-1.31,-2.82,-4.13,-0.86
485,"Wesley Johnson, SF",NO/WSH,35,14.6,-3.51,-0.65,-4.16,-0.35
486,"Cedi Osman, SF",CLE,61,31.7,-0.72,-3.58,-4.30,-1.43
487,"Jevon Carter, PG",MEM,28,14.6,-3.85,-0.48,-4.33,-0.32
488,"Jerryd Bayless, PG",MIN,22,19.7,-2.25,-2.23,-4.48,-0.38
489,"Elie Okobo, PG",PHX,43,18.1,-3.16,-1.33,-4.49,-0.66
490,"Timothe Luwawu-Cabarrot, SG",CHI/OKC,36,9.6,-3.76,-0.74,-4.50,-0.30
491,"Frank Jackson, PG",NO,54,17.2,-1.94,-2.58,-4.52,-0.85
492,"Mo Bamba, C",ORL,47,16.3,-4.15,-0.51,-4.66,-0.74
493,"Wayne Selden, SG",CHI/MEM,61,18.2,-2.07,-2.60,-4.67,-1.06
494,"Jose Calderon, PG",DET,48,13.1,-3.54,-1.16,-4.70,-0.61
495,"Frank Ntilikina, PG",NY,41,21.3,-3.46,-1.30,-4.76,-0.93
496,"Jonathon Simmons, SF",ORL/PHI,51,19.1,-3.86,-1.07,-4.93,-1.13
497,"Nik Stauskas, SG",CLE/POR,54,15.1,-2.56,-2.93,-5.49,-1.13
498,"Grayson Allen, SG",UTAH,31,9.4,-3.00,-2.63,-5.63,-0.47
499,"Antonio Blakeney, SG",CHI,46,13.7,-2.59,-3.20,-5.79,-1.07
500,"Collin Sexton, PG",CLE,67,30.7,-1.84,-4.42,-6.26,-4.00
501,"Jamal Crawford, SG",PHX,54,17.5,-2.84,-3.72,-6.56,-2.07
502,"Kevin Knox, SF",NY,60,28.0,-3.30,-3.88,-7.18,-4.37
