TEAM_NAME,G_ON_MADE,PLAYER_NAME,FREQUENCY_ON_MADE,PASS_ON_MADE,AST_ON_MADE,FGM_ON_MADE,FGA_ON_MADE,FG_PCT_ON_MADE,FG2M_ON_MADE,FG2A_ON_MADE,FG2_PCT_ON_MADE,FG3M_ON_MADE,FG3A_ON_MADE,FG3_PCT_ON_MADE,G_ON_RECEIVED,FREQUENCY_ON_RECEIVED,PASS_ON_RECEIVED,AST_ON_RECEIVED,FGM_ON_RECEIVED,FGA_ON_RECEIVED,FG_PCT_ON_RECEIVED,FG2M_ON_RECEIVED,FG2A_ON_RECEIVED,FG2_PCT_ON_RECEIVED,FG3M_ON_RECEIVED,FG3A_ON_RECEIVED,FG3_PCT_ON_RECEIVED
Portland Trail Blazers,8.0,"Collins, Zach",0.004,3.25,0.25,0.5,1.0,0.5,0.25,0.63,0.4,0.25,0.38,0.667,8.0,0.004,3.38,0.13,0.13,1.0,0.125,0.0,0.63,0.0,0.13,0.38,0.333
Sacramento Kings,24.0,"Fox, De'Aaron",0.148,48.33,4.13,5.33,12.17,0.438,3.79,8.88,0.427,1.54,3.29,0.468,24.0,0.173,56.46,1.08,3.42,9.38,0.364,3.13,8.13,0.385,0.29,1.25,0.233
Sacramento Kings,22.0,"Hill, George",0.122,43.32,2.36,4.14,10.77,0.384,3.05,7.45,0.409,1.09,3.32,0.329,22.0,0.136,48.32,1.55,3.09,7.14,0.433,2.0,4.77,0.419,1.09,2.36,0.462
Sacramento Kings,23.0,"Cauley-Stein, Willie",0.114,38.74,2.22,3.91,7.96,0.492,3.13,6.26,0.5,0.78,1.7,0.462,23.0,0.089,30.17,2.78,3.7,8.43,0.438,3.65,8.22,0.444,0.04,0.22,0.2
Sacramento Kings,22.0,"Randolph, Zach",0.098,34.82,2.18,3.41,9.0,0.379,2.73,6.86,0.397,0.68,2.14,0.319,22.0,0.097,34.45,3.0,5.23,11.32,0.462,4.59,9.41,0.488,0.64,1.91,0.333
Sacramento Kings,17.0,"Mason, Frank",0.066,30.47,3.18,3.94,8.53,0.462,2.59,5.65,0.458,1.35,2.88,0.469,17.0,0.081,37.18,0.88,2.53,6.88,0.368,1.82,5.47,0.333,0.71,1.41,0.5
Sacramento Kings,21.0,"Bogdanovic, Bogdan",0.073,27.33,2.1,3.62,8.71,0.415,2.9,6.76,0.43,0.71,1.95,0.366,21.0,0.081,30.19,1.9,3.38,7.95,0.425,2.52,4.95,0.51,0.86,3.0,0.286
Sacramento Kings,23.0,"Temple, Garrett",0.079,27.04,1.48,3.09,7.13,0.433,2.52,5.87,0.43,0.57,1.26,0.448,23.0,0.081,27.57,2.13,2.78,7.48,0.372,1.17,3.52,0.333,1.61,3.96,0.407
Sacramento Kings,22.0,"Hield, Buddy",0.063,22.59,1.68,2.5,6.36,0.393,1.95,4.68,0.417,0.55,1.68,0.324,22.0,0.075,26.86,2.64,3.95,9.41,0.42,2.09,5.45,0.383,1.86,3.95,0.471
Sacramento Kings,23.0,"Labissiere, Skal",0.058,19.61,0.61,1.35,4.04,0.333,1.0,3.13,0.319,0.35,0.91,0.381,23.0,0.05,16.91,1.57,2.65,6.52,0.407,2.48,6.17,0.401,0.17,0.35,0.5
Sacramento Kings,17.0,"Jackson, Justin",0.039,18.18,0.47,1.41,4.0,0.353,1.18,3.0,0.392,0.24,1.0,0.235,17.0,0.038,17.41,1.94,2.41,6.12,0.394,1.59,3.53,0.45,0.82,2.59,0.318
Sacramento Kings,4.0,"Sampson, JaKarr",0.009,16.75,0.5,1.0,2.5,0.4,0.75,1.75,0.429,0.25,0.75,0.333,4.0,0.004,8.0,0.75,1.0,3.0,0.333,1.0,2.75,0.364,0.0,0.25,0.0
Sacramento Kings,15.0,"Carter, Vince",0.028,14.47,0.67,0.93,2.8,0.333,0.8,2.27,0.353,0.13,0.53,0.25,15.0,0.022,11.4,0.87,1.0,3.2,0.313,0.4,1.33,0.3,0.6,1.87,0.321
Sacramento Kings,12.0,"Richardson, Malachi",0.015,9.5,0.58,0.92,3.25,0.282,0.67,2.58,0.258,0.25,0.67,0.375,12.0,0.017,10.83,0.92,1.25,3.83,0.326,0.67,2.33,0.286,0.58,1.5,0.389
San Antonio Spurs,25.0,"Mills, Patty",0.151,46.48,3.48,4.72,12.4,0.381,3.56,8.6,0.414,1.16,3.8,0.305,25.0,0.169,52.08,2.0,3.08,8.4,0.367,1.4,3.4,0.412,1.68,5.0,0.336
